Id,Title,Databases,Year,Authors,Publication Type,Published In,Publisher,Address,Refs.,Cits.,Abstract,Keywords,PDF,URL,"Q1 [0, 3]","Q2 [0, 3]","Q3 [0, 3]","Q4 [0, 1]","Total [0, 10]",Backward Tracked,Forward Tracked
46,Relative Quality and Popularity Evaluation of Multilingual Wikipedia Articles,"Google Scholar, Web of Science",2017,Włodzimierz Lewoniewski; Krzysztof Węcel; Witold Abramowicz,Journal,"Informatics, vol. 4(4), pp. 43",N/A,N/A,26,36,"Despite the fact that Wikipedia is often criticized for its poor quality, it continues to be one of the most popular knowledge bases in the world. Articles in this free encyclopedia on various topics can be created and edited in about 300 different language versions independently. Our research has showed that in language sensitive topics, the quality of information can be relatively better in the relevant language versions. However, in most cases, it is difficult for the Wikipedia readers to determine the language affiliation of the described subject. Additionally, each language edition of Wikipedia can have own rules in the manual assessing of the content’s quality. There are also differences in grading schemes between language versions: some use a 6–8 grade system to assess articles, and some are limited to 2–3. This makes automatic quality comparison of articles between various languages a challenging task, particularly if we take into account a large number of unassessed articles; some of the Wikipedia language editions have over 99% of articles without a quality grade. The paper presents the results of a relative quality and popularity assessment of over 28 million articles in 44 selected language versions. Comparative analysis of the quality and the popularity of articles in popular topics was also conducted. Additionally, the correlation between quality and popularity of Wikipedia articles of selected topics in various languages was investigated. The proposed method allows us to find articles with information of better quality that can be used to automatically enrich other language editions of Wikipedia.",Wikipedia; information quality; WikiRank; DBpedia,https://pdfs.semanticscholar.org/a37c/5e68f712724157a4a6824f58a2425a830168.pdf,https://www.mdpi.com/2227-9709/4/4/43,1,0,1,1,3,No,No
48,A hybrid approach to classifying Wikipedia article quality flaws with feature fusion framework,"Google Scholar, Web of Science",2021,Ping Wang; Muyan Li; Xiaodan Li; Heshen Zhou; Jingrui Hou,Journal,"Expert Systems with Applications, vol. 181(1), pp. 115089",N/A,N/A,38,8,"Article quality has always been a major concern for Wikipedia. To improve article quality, it is critical to first identify defects. Thus, flaw classification has attracted considerable attention. To achieve this, several machine-learning-based approaches are available, including deep learning models based on either manually constructed or autoextracted features. However, adopting only features of either single type may not ensure a comprehensive description of articles. To improve flaw classification, we propose a feature fusion framework combining both handcrafted and autoextracted features. In this research, we first use a rule-based method from a previously proposed framework to extract handcrafted features. Additionally, we obtain autoextracted features using Bidirectional Encoder Representations from Transformers (BERT) and various deep learning models, including bidirectional long short-term memory (Bi LSTM), bidirectional gated recurrent unit (Bi GRU), bidirectional recurrent neural network (Bi RNN), and multihead self-attention models. Finally, the handcrafted features are standardized and concatenated with the autoextracted features. Then, the concatenated features are fed into a feedforward neural network for classification. A detailed comparison of different classifiers is conducted. We compare 12 different classifiers in terms of training performance, classification performance, and model training time. The experiments show that the proposed feature fusion framework can notably improve the effectiveness of quality flaw classification for Wikipedia articles. In particular, a Bi GRU model based on the proposed framework achieves excellent classification accuracy.",Quality flaw; Deep learning; Fusion framework; Text classification,https://reader.elsevier.com/reader/sd/pii/S0957417421005303?token=5388C4415793DA7AF64CBE513CD8B789A104B546D63754CE10326DECA64378FAADD906AE25B606164B3F69EC4FA003F6&originRegion=eu-west-1&originCreation=20230130110039,https://www.sciencedirect.com/science/article/pii/S0957417421005303?via%3Dihub,3,3,1,0,7,Yes,Yes
54,Network analysis of user generated content quality in Wikipedia,"Google Scholar, Web of Science",2013,Myshkin Ingawale; Amitava Dutta; Rahul Roy; Priya Seetharaman,Journal,"Online Information Review, vol. 37(4), pp. 602-619",N/A,N/A,52,31,"Purpose – Social media platforms allow near‐unfettered creation and exchange of user generated content (UGC). Drawing from network science, the purpose of this paper is to examine whether high and low quality UGC differ in their connectivity structures in Wikipedia (which consists of interconnected user generated articles). Design/methodology/approach – Using Featured Articles as a proxy for high quality, a network analysis was undertaken of the revision history of six different language Wikipedias, to offer a network‐centric explanation for the emergence of quality in UGC.Findings – The network structure of interactions between articles and contributors plays an important role in the emergence of quality. Specifically the analysis reveals that high‐quality articles cluster in hubs that span structural holes.Research limitations/implications – The analysis does not capture the strength of interactions between articles and contributors. The implication of this limitation is that quality is viewed as a binary variable. Extensions to this research will relate strength of interactions to different levels of quality in UGC. Practical implications - The findings help harness the “wisdom of the crowds” effectively. Organisations should nurture users and articles at the structural hubs from an early stage. This can be done through appropriate design of collaborative knowledge systems and development of organisational policies to empower hubs. Originality/value - The network centric perspective on quality in UGC and the use of a dynamic modelling tool are novel. The paper is of value to researchers in the area of social computing and to practitioners implementing and maintaining such platforms in organisations.",Web sites; Wikis; Social media; Wikipedia; Social computing; Quality; Network analysis; Structural holes; Hubs,https://www.emerald.com/insight/content/doi/10.1108/OIR-03-2011-0182/full/pdf?title=network-analysis-of-user-generated-content-quality-in-wikipedia,https://www.emerald.com/insight/content/doi/10.1108/OIR-03-2011-0182/full/html,2,0,1,1,4,Yes,Yes
57,Knowledge categorization affects popularity and quality of Wikipedia articles,"Google Scholar, Web of Science",2018,Jürgen Lerner; Alessandro Lomi,Journal,"PLoS ONE, vol. 13(1)",N/A,N/A,56,28,"The existence of a shared classification system is essential to knowledge production, transfer, and sharing. Studies of knowledge classification, however, rarely consider the fact that knowledge categories exist within hierarchical information systems designed to facilitate knowledge search and discovery. This neglect is problematic whenever information about categorical membership is itself used to evaluate the quality of the items that the category contains. The main objective of this paper is to show that the effects of category membership depend on the position that a category occupies in the hierarchical knowledge classification system of Wikipedia—an open knowledge production and sharing platform taking the form of a freely accessible on-line encyclopedia. Using data on all English-language Wikipedia articles, we examine how the position that a category occupies in the classification hierarchy affects the attention that articles in that category attract from Wikipedia editors, and their evaluation of quality of the Wikipedia articles. Specifically, we show that Wikipedia articles assigned to coarse-grained categories (i. e., categories that occupy higher positions in the hierarchical knowledge classification system) garner more attention from Wikipedia editors (i. e., attract a higher volume of text editing activity), but receive lower evaluations (i. e., they are considered to be of lower quality). The negative relation between attention and quality implied by this result is consistent with current theories of social categorization, but it also goes beyond available results by showing that the effects of categorization on evaluation depend on the position that a category occupies in a hierarchical knowledge classification system.",N/A,https://pdfs.semanticscholar.org/fa1d/b666c361fd03226c8e7bd81c5eb515719ac6.pdf,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0190674,1,0,1,0,2,No,No
58,On improving wikipedia search using article quality,"ACM, Google Scholar",2007,Meiqun Hu; Ee-Peng Lim; Aixin Sun; Hady Wirawan Lauw; Ba-Quy Vuong,Conference,"WIDM '07: ACM International Workshop on Web Information and Data Management, pp. 145-152",Association for Computing Machinery,"New York City, United States",23,30,"Wikipedia is presently the largest free-and-open online encyclopedia collaboratively edited and maintained by volunteers. While Wikipedia offers full-text search to its users, the accuracy of its relevance-based search can be compromised by poor quality articles edited by non-experts and inexperienced contributors. In this paper, we propose a framework that re-ranks Wikipedia search results considering article quality. We develop two quality measurement models, namely Basic and PeerReview, to derive article quality based on co-authoring data gathered from articles' edit history. Compared with Wikipedia's full-text search engine, Google and Wikiseek, our experimental results showed that (i) quality-only ranking produced by PeerReview gives comparable performance to that of Wikipedia and Wikiseek; (ii) PeerReview combined with relevance ranking outperforms Wikipedia's full-text search significantly, delivering search accuracy comparable to Google.",Wikipedia; collaborative authoring; quality-aware search,https://dl.acm.org/doi/pdf/10.1145/1316902.1316926,https://dl.acm.org/doi/10.1145/1316902.1316926,1,0,1,0,2,No,No
59,Computational Trust in Web Content Quality: A Comparative Evalutation on the Wikipedia Project,Google Scholar,2007,Pierpaolo Dondio; Stephen Barrett,Journal,"Informatica, vol. 31(2), pp. 151-160",N/A,N/A,22,62,"The problem of identifying useful and trustworthy information on the World Wide Web is becoming increasingly acute as new tools such as wikis and blogs simplify and democratize publication. It is not hard to predict that in the future the direct reliance on this material will expand and the problem of evaluating the trustworthiness of this kind of content become crucial. The Wikipedia project represents the most successful and discussed example of such online resources. In this paper we present a method to predict Wikipedia articles trustworthiness based on computational trust techniques and a deep domain-specific analysis. Our assumption is that a deeper understanding of what in general defines high-standard and expertise in domains related to Wikipedia – i.e. content quality in a collaborative environment – mapped onto Wikipedia elements would lead to a complete set of mechanisms to sustain trust in Wikipedia context. We present a series of experiment. The first is a study-case over a specific category of articles; the second is an evaluation over 8 000 articles representing 65% of the overall Wikipedia editing activity. We report encouraging results on the automated evaluation of Wikipedia content using our domain-specific expertise method. Finally, in order to appraise the value added by using domain-specific expertise, we compare our results with the ones obtained with a pre-processed cluster analysis, where complex expertise is mostly replaced by training and automatic classification of common features.",computational trust; Wikipedia; content-quality,https://arrow.tudublin.ie/cgi/viewcontent.cgi?article=1031&context=scschcomart&httpsredir=1&referer=,https://arrow.tudublin.ie/scschcomart/25/,1,0,1,0,2,No,No
60,Mutual evaluation of editors and texts for assessing quality of Wikipedia articles,"ACM, Google Scholar",2012,Yu Suzuki; Masatoshi Yoshikawa,Conference,"WikiSym '12: International Symposium on Wikis and Open Collaboration, no. 18, pp. 1-10",Association for Computing Machinery,"New York City, United States",24,28,"In this paper, we propose a method to identify good quality Wikipedia articles by mutually evaluating editors and texts. A major approach for assessing article quality is a text survival ratio based approach. In this approach, when a text survives beyond multiple edits, the text is assessed as good quality. This approach assumes that poor quality texts are deleted by editors with high possibility. However, many vandals delete good quality texts frequently, then the survival ratios of good quality texts are improperly decreased by vandals. As a result, many good quality texts are unfairly assessed as poor quality. In our method, we consider editor quality for calculating text quality, and decrease the impacts on text qualities by the vandals who has low quality. Using this improvement, the accuracy of the text quality should be improved. However, an inherent problem of this idea is that the editor qualities are calculated by the text qualities. To solve this problem, we mutually calculate the editor and text qualities until they converge. We did our experimental evaluation, and we confirmed that the proposed method could accurately assess the text qualities.",Wikipedia; Quality; Peer Review; Edit History; Link Analysis,https://dl.acm.org/doi/pdf/10.1145/2462932.2462956,https://dl.acm.org/doi/10.1145/2462932.2462956,2,0,1,1,4,Yes,Yes
61,Mining the Factors Affecting the Quality of Wikipedia Articles,"ACM, Google Scholar",2010,Kewen Wu; Qinghua Zhu; Yuxiang Zhao; Hua Zheng,Conference,"ISME '10: International Conference of Information Science and Management Engineering, vol. 1, pp. 343-346",Institute of Electrical and Electronic Engineers,"New York City, United States",8,18,"In order to observe the variation of factors affecting the quality of Wikipedia articles during the information quality improvement process, we proposed 28 metrics from four aspects, including lingual, structural, historical and reputational features, and then weighted each metrics indifferent stages by using neural network. We found lingual features weighted more in the lower quality stages, and structural features, along with historical features, became more important while article quality improved. However, reputational features did not act as important as expected. The findings indicate that the information quality is mainly affected by completeness, and well-written is a basic requirement in the initial stage. Reputation of authors or editors is not so important in Wikipedia because of its horizontal structure.",Web2.0; Wikipedia; Information Quality; Neural Network; Quality Assessment,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5572324,https://ieeexplore.ieee.org/document/5572324,2,1,2,0,5,Yes,Yes
62,Measures for Quality Assessment of Articles and Infoboxes in Multilingual Wikipedia,"Google Scholar, Web of Science",2018,Włodzimierz Lewoniewski,Conference,"BIS '18: International Conference on Business Information Systems, pp. 619-633",Springer,"Cham, Switzerland",84,15,"One of the most popular collaborative knowledge bases on the Internet is Wikipedia. Articles of this free encyclopaedia are created and edited by users from different countries in about 300 languages. Depending on topic and language version, quality of information there may vary. This study presents and classifies measures that can be extracted from Wikipedia articles for the purpose of automatic quality assessment in different languages. Based on a state of the art analysis and own experiments, specific measures for various aspects of quality have been defined. Additional, in this work they were also defined measures for quality assessment of data contained in the structural parts of Wikipedia articles - infoboxes. This study describes also an extraction methods for various sources of measures, that can be used in quality assessment.",Wikipedia; Data quality; Quality measures; DBpedia Wikidata; Quality dimensions; Web 2.0; Encyclopedia,https://link.springer.com/content/pdf/10.1007/978-3-030-04849-5_53,https://link.springer.com/chapter/10.1007/978-3-030-04849-5_53,2,0,2,0,4,Yes,Yes
64,Classifying Wikipedia Article Quality With Revision History Networks,"ACM, Google Scholar, Web of Science",2020,Narun K. Raman; Nathaniel Sauerberg; Jonah Fisher; Sneha Narayan,Conference,"OpenSym '20: International Symposium on Open Collaboration, no. 5, pp. 1-7",Association for Computing Machinery,"New York City, United States",21,8,"We present a novel model for classifying the quality of Wikipedia articles based on structural properties of a network representation of the article's revision history. We create revision history networks (an adaptation of Keegan et. al's article trajectory networks), where nodes correspond to individual editors of an article, and edges join the authors of consecutive revisions. Using descriptive statistics generated from these networks, along with general properties like the number of edits and article size, we predict which of six quality classes (Start, Stub, C-Class, B-Class, Good, Featured) articles belong to, attaining a classification accuracy of 49.35% on a stratified sample of articles. These results suggest that structures of collaboration underlying the creation of articles, and not just the content of the article, should be considered for accurate quality classification.",Wikipedia; network analysis; quantitative methods; article quality; classification; collaboration,https://dl.acm.org/doi/pdf/10.1145/3412569.3412581,https://dl.acm.org/doi/10.1145/3412569.3412581,2,2,1,0,5,Yes,Yes
65,WikipediaViz: Conveying article quality for casual Wikipedia readers,"Google Scholar, Web of Science",2010,Fanny Chevalier; Stéphane Huot; Jean-Daniel Fekete,Conference,"PacificVis '10: Pacific Visualization Symposium, pp. 49-56",Institute of Electrical and Electronic Engineers,"New York City, United States",26,47,"As Wikipedia has become one of the most used knowledge bases worldwide, the problem of the trustworthiness of the information it disseminates becomes central. With WikipediaViz, we introduce five visual indicators integrated to the Wikipedia layout that can keep casual Wikipedia readers aware of important metainformation about the articles they read. The design of WikipediaViz was inspired by two participatory design sessions with expert Wikipedia writers and sociologists who explained the clues they used to quickly assess the trustworthiness of articles. According to these results, we propose five metrics for Maturity and Quality assessment of Wikipedia articles and their accompanying visualizations to provide the readers with important clues about the editing process at a glance. We also report and discuss about the results of the user studies we conducted. Two preliminary pilot studies show that all our subjects trust Wikipedia articles almost blindly. With the third study, we show that WikipediaViz significantly reduces the time required to assess the quality of articles while maintaining a good accuracy.",Wikipedia; network analysis; quantitative methods; article quality; classification; collaboration,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5429611,https://ieeexplore.ieee.org/document/5429611/,1,0,1,1,3,No,No
66,Multilingual Ranking of Wikipedia Articles with Quality and Popularity Assessment in Different Topics,"Google Scholar, Web of Science",2019,Włodzimierz Lewoniewski; Krzysztof Węcel; Witold Abramowicz,Journal,"Computers, vol. 8(3), pp. 60",N/A,N/A,92,21,"On Wikipedia, articles about various topics can be created and edited independently in each language version. Therefore, the quality of information about the same topic depends on the language. Any interested user can improve an article and that improvement may depend on the popularity of the article. The goal of this study is to show what topics are best represented in different language versions of Wikipedia using results of quality assessment for over 39 million articles in 55 languages. In this paper, we also analyze how popular selected topics are among readers and authors in various languages. We used two approaches to assign articles to various topics. First, we selected 27 main multilingual categories and analyzed all their connections with sub-categories based on information extracted from over 10 million categories in 55 language versions. To classify the articles to one of the 27 main categories, we took into account over 400 million links from articles to over 10 million categories and over 26 million links between categories. In the second approach, we used data from DBpedia and Wikidata. We also showed how the results of the study can be used to build local and global rankings of the Wikipedia content.",Wikipedia; Information quality; Popularity; Topics identification; Wikidata; DBpedia; WikiRank,https://pdfs.semanticscholar.org/d5b3/f3e9403eda8b45184951b269ee7997452c6b.pdf,https://www.mdpi.com/2073-431X/8/3/60,2,0,1,1,4,Yes,Yes
67,Automatically assessing the quality of Wikipedia contents,"ACM, Google Scholar, Web of Science",2019,Elias Bassani; Marco Viviani,Conference,"SAC '19: ACM/SIGAPP Symposium on Applied Computing, pp. 804-807",Association for Computing Machinery,"New York City, United States",18,10,"With the development of Web 2.0 technologies, people have gone from being mere content users to content generators. In this context, the evaluation of the quality of (potential) information available online has become a crucial issue. Nowadays, one of the biggest online resources that users rely on as a knowledge base is Wikipedia. The collaborative aspect at the basis of Wikipedia can let to the possible creation of low-quality articles or even misinformation if the process of monitoring the generation and the revision of articles is not performed in a precise and timely way. For this reason, in this paper, the problem of automatically evaluating the quality of Wikipedia contents is considered, by proposing a supervised approach based on Machine Learning to perform the classification of articles on qualitative bases. With respect to prior literature, a wider set of features connected to Wikipedia articles has been taken into account, as well as previously unconsidered aspects connected to the generation of a labeled dataset to train the model, and the use of Gradient Boosting, which produced encouraging results.",Information Quality; Social Media; Machine Learning; Wikipedia,https://dl.acm.org/doi/pdf/10.1145/3297280.3297357,https://dl.acm.org/doi/10.1145/3297280.3297357,3,3,1,0,7,Yes,Yes
69,Wisdom of crowds: the effect of participant composition and contribution behavior on Wikipedia article quality,"Google Scholar, Web of Science",2020,Yan Lin; Chenxi Wang,Journal,"Journal of Knowledge Management, vol. 24(2), pp. 324-345",N/A,N/A,57,10,"Purpose - This paper aims to explore the effect of participant composition and contribution behavior of the different types of participants on the quality of knowledge generation in online communities. Design/methodology/approach - This study samples all the featured articles in Chinese Wikipedia and performs a Cox regression to reveal how participant composition and contribution behavior affect the quality of articles in different contexts. Findings - The results show that an increase in the number of participants increases the possibility of either enhancing or reducing the article quality. In most cases, the greater the proportion of core members (people who frequently participate in editing), the higher the possibility of enhancing the article quality. Occasional participants’ editorial behavior hinders quality promotion, this negative effect weakens when such editorial behavior becomes more frequent. Practical implications - The findings help to better leverage the role of online communities in practice and to achieve knowledge collaboration in a more efficient manner. For example, an appropriate centralized organizational form should be established in online communities to improve the efficiency of crowd contributions. And it is worth developing mechanism to encourage participants to frequently participate in editing the article. Originality/value - This study contributes to the research on the organizational forms of online communities by showing the effect of participant composition and behavior in the new form of organizing on knowledge generation. This study also contributes to the research on wisdom of crowds by revealing who in a group of participants, in what context, and by what means influence knowledge generation.",Online community; Wikipedia; Wisdom of crowds; Cox regression; Knowledge collaboration,https://www.emerald.com/insight/content/doi/10.1108/JKM-08-2019-0416/full/pdf?title=wisdom-of-crowds-the-effect-of-participant-composition-and-contribution-behavior-on-wikipedia-article-quality,https://www.emerald.com/insight/content/doi/10.1108/JKM-08-2019-0416/full/html,1,0,1,1,3,No,No
70,Quality Evaluation of Wikipedia Articles through Edit History and Editor Groups,"ACM, Google Scholar, Web of Science",2010,Se Wang; Mizuho Iwaihara,Conference,"APWeb '11: Asia-Pacific Web Conference, pp. 188-199",Springer,"Berlin, Heidelberg",20,18,"Wikipedia is well known as a free encyclopedia, which is a type of collaborative repository system that allows the viewer to create and edit articles directly in the web browser. The weakness of the Wikipedia system is the possibility of manipulation and vandalism cannot be ruled out, so that the quality of any given Wikipedia article is not guaranteed. It is an important work to establish a quality evaluation method to help users decide how much they should trust an article in Wikipedia. In this paper we investigate the edit history of Wikipedia articles and propose a model of network structure of editors. We propose an algorithm to calculate the network structural indicator restoreratio. We use the proposed indicator combined with existing metrics to predict the quality of Wikipedia articles through support vector machine technology. The experimental results show that the proposed indicator has better performance in quality evaluation than several existing metrics.",Wikipedia; quality evaluation; web mining; edit network; web trust,https://link.springer.com/content/pdf/10.1007/978-3-642-20291-9_20.pdf,https://link.springer.com/chapter/10.1007/978-3-642-20291-9_20,2,1,1,0,4,Yes,Yes
71,Application of SEO Metrics to Determine the Quality of Wikipedia Articles and Their Sources,"Google Scholar, Web of Science",2018,Włodzimierz Lewoniewski; Ralf-Christian Härting; Krzysztof Węcel; Christopher Reichstein; Witold Abramowicz,Conference,"ICIST '18: International Conference on Information and Software Technologies, pp. 139-152",Springer,"Cham, Switzerland",29,15,"The leading online encyclopedia Wikipedia is struggling with inconsistent article quality caused by the collaborative editing model. While one can find many helpful articles with consistent information on Wikipedia, there are also a lot of questionable articles with unclear or unfinished information yet. The quality of each article may vary over time as different users repeatedly re-edit content. One of the most important elements of the Wikipedia articles are references which allow to verify content and to show its source to user. Based on the fact that most of these references are web pages, it is possible to get more information about their quality by using citation analysis tools. For science and practice the empirical proof of the quality of the articles in Wikipedia could have a further signal effect, as the citation of Wikipedia articles, especially in scientific practice, is not yet recognised. This paper presents general results of Wikipedia analysis using metrics from the Toolbox SISTRIX, which is one of the leading providers of indicators for Search Engine Optimization (SEO). In addition to the preliminary analysis of the Wikipedia articles as separate web pages, we extracted data from more than 30 million references in different language versions of Wikipedia and analyzed over 180 thousand most popular hosts. In addition, we compared the same sources from different geographical perspectives using country-specific visibility indices.",Data quality; Wikipedia; References; SEO; SISTRIX Sources; Visibility Index; Search engine,https://link.springer.com/content/pdf/10.1007/978-3-319-99972-2_11,https://link.springer.com/chapter/10.1007/978-3-319-99972-2_11,2,0,1,1,4,Yes,Yes
72,Diversity of editors and teams versus quality of cooperative work: experiments on wikipedia,"ACM, Google Scholar, Web of Science",2017,Marcin Sydow; Katarzyna Baraniak; Paweł Teisseyre,Journal,"Journal of Intelligent Information Systems, vol. 48, pp. 601-632",N/A,N/A,28,16,"We study whether and how the diversity of editors and teams affects the quality of work in a virtual cooperative work environment on the Wikipedia example. We propose a measure of interests diversity of an editor and some measures of team diversity in terms of members’ interests and experience. Statistical and machine learning methods are used to investigate the dependency between diversity and work quality. The presented experimental results confirm our hypothesis that interest diversity of a single editors and team diversity are positively related to the quality of their work. Interestingly, some of our experiments also indicate that diversity may be more important than such attributes as productivity of an editor or size or experience of the team. Our experimental results demonstrate that it is possible to predict work quality based on diversity which is an additional statistical signal that diversity is correlated with work quality.",Diversity of interest; Team diversity; Wikipedia; Article quality; Open collaboration; Machine learning,https://link.springer.com/content/pdf/10.1007/s10844-016-0428-1,https://link.springer.com/article/10.1007/s10844-016-0428-1,1,1,1,1,4,Yes,Yes
74,A deep learning-based quality assessment model of collaboratively edited documents: A case study of Wikipedia,"ACM, Google Scholar, Web of Science",2019,Ping Wang; Xiaodan Li; Renli Wu,Journal,"Journal of Information Science, vol. 47(2), pp. 176 - 191",N/A,N/A,65,8,"Wikipedia is becoming increasingly critical in helping people obtain information and knowledge. Its leading advantage is that users can not only access information but also modify it. However, this presents a challenging issue: how can we measure the quality of a Wikipedia article? The existing approaches assess Wikipedia quality by statistical models or traditional machine learning algorithms. However, their performance is not satisfactory. Moreover, most existing models fail to extract complete information from articles, which degrades the model’s performance. In this article, we first survey related works and summarise a comprehensive feature framework. Then, state-of-the-art deep learning models are introduced and applied to assess Wikipedia quality. Finally, a comparison among deep learning models and traditional machine learning models is conducted to validate the effectiveness of the proposed model. The models are compared extensively in terms of their training and classification performance. Moreover, the importance of each feature and the importance of different feature sets are analysed separately.",Deep learning; feature framework; information quality assessment; Wikipedia,https://journals.sagepub.com/doi/pdf/10.1177/0165551519877646,https://journals.sagepub.com/doi/10.1177/0165551519877646,3,3,3,0,9,Yes,Yes
76,Automatically Labeling Low Quality Content on Wikipedia By Leveraging Patterns in Editing Behaviors,"ACM, Google Scholar",2021,Sumit Asthana; Sabrina Tobar Thommel; Aaron L. Halfaker; Nikola Banovic,Journal,"Proceedings of the ACM on Human-Computer Interaction, vol. 5(CSCW2), no. 359, pp. 1 - 23",N/A,N/A,55,1,"Wikipedia articles aim to be definitive sources of encyclopedic content. Yet, only 0.6% of Wikipedia articles have high quality according to its quality scale due to insufficient number of Wikipedia editors and enormous number of articles. Supervised Machine Learning (ML) quality improvement approaches that can automatically identify and fix content issues rely on manual labels of individual Wikipedia sentence quality. However, current labeling approaches are tedious and produce noisy labels. Here, we propose an automated labeling approach that identifies the semantic category (e.g., adding citations, clarifications) of historic Wikipedia edits and uses the modified sentences prior to the edit as examples that require that semantic improvement. Highest-rated article sentences are examples that no longer need semantic improvements. We show that training existing sentence quality classification algorithms on our labels improves their performance compared to training them on existing labels. Our work shows that editing behaviors of Wikipedia editors provide better labels than labels generated by crowdworkers who lack the context to make judgments that the editors would agree with.",Wikipedia; Content Labeling; Machine Learning,https://dl.acm.org/doi/pdf/10.1145/3479503,https://dl.acm.org/doi/10.1145/3479503,1,1,1,0,3,No,No
78,Article quality classification on Wikipedia: introducing document embeddings and content features,"ACM, Google Scholar, Web of Science",2019,Manuel Schmidt; Eva Zangerle,Conference,"OpenSym '19: International Symposium on Open Collaboration, no. 13, pp. 1-8",Association for Computing Machinery,"New York City, United States",24,9,"The quality of articles on the Wikipedia platform is vital for its success. Currently, the assessment of quality is performed manually by the Wikipedia community, where editors classify articles into pre-defined quality classes. However, this approach is hardly scalable and hence, approaches for the automatic classification have been investigated. In this paper, we extend this previous line of research on article quality classification by extending the set of features with novel content and edit features (e.g., document em-beddings of articles). We propose a classification approach utilizing gradient boosted trees based on this novel, extended set of features extracted from Wikipedia articles. Based on an established dataset containing Wikipedia articles and quality classes, we show that our approach is able to substantially outperform previous approaches (also including recent deep learning methods). Furthermore, we shed light on the contribution of individual features and show that the proposed features indeed capture the quality of an article well.",Wikipedia; Collaborative Information Systems; Information Quality; Classification; Gradient Boosted Trees,https://dl.acm.org/doi/pdf/10.1145/3306446.3340831,https://dl.acm.org/doi/10.1145/3306446.3340831,2,2,2,0,6,Yes,Yes
79,Assessing quality score of Wikipedia article using mutual evaluation of editors and texts,"ACM, Google Scholar, Web of Science",2013,Yu Suzuki; Masatoshi Yoshikawa,Conference,"CIKM '13: ACM International Conference on Information & Knowledge Management, pp. 1722-1732",Association for Computing Machinery,"New York City, United States",7,20,"In this paper, we propose a method for assessing quality scores of Wikipedia articles by mutually evaluating editors and texts. Survival ratio based approach is a major approach to assessing article quality. In this approach, when a text survives beyond multiple edits, the text is assessed as good quality, because poor quality texts have a high probability of being deleted by editors. However, many vandals, low quality editors, delete good quality texts frequently, which improperly decreases the survival ratios of good quality texts. As a result, many good quality texts are unfairly assessed as poor quality. In our method, we consider editor quality score for calculating text quality score, and decrease the impact on text quality by vandals. Using this improvement, the accuracy of the text quality score should be improved. However, an inherent problem with this idea is that the editor quality scores are calculated by the text quality scores. To solve this problem, we mutually calculate the editor and text quality scores until they converge. In this paper, we prove that the text quality score converges. We did our experimental evaluation, and confirmed that our proposed method could accurately assess the text quality scores.",Wikipedia; Quality; Peer Review; Vandalism; Edit History,https://dl.acm.org/doi/pdf/10.1145/2505515.2505610,https://dl.acm.org/doi/10.1145/2505515.2505610,2,0,1,1,4,Yes,Yes
82,Quality Assessment of Wikipedia Articles Using h-index,Google Scholar,2015,Yu Suzuki,Journal,"Journal of Information Processing, vol. 23(1), pp. 22-30",N/A,N/A,30,25,"In this paper, we propose a method for assessing quality values of Wikipedia articles from edit history using h-index. One of the major methods for assessing Wikipedia article quality is a peer-review based method. In this method, we assume that if an editor’s texts are left by the other editors, the texts are approved by the editors, then the editor is decided as a good editor. However, if an editor edits multiple articles, and the editor is approved at a small number of articles, the quality value of the editor deeply depends on the quality of the texts. In this paper, we apply h-index, which is a simple but resistant to excessive values, to the peer-review based Wikipedia article assessment method. Although h-index can identify whether an editor is a good quality editor or not, h-index cannot identify whether the editor is a vandal or an inactive editor. To solve this problem, we propose p-ratio for identifying which editors are vandals or inactive editors. From our experiments, we confirmed that by integrating h-index with p-ratio, the accuracy of article quality assessment in our method outperforms the existing peer-review based method.",Wikipedia; h-index; peer-review; quality,https://www.jstage.jst.go.jp/article/ipsjjip/23/1/23_22/_pdf,https://www.jstage.jst.go.jp/article/ipsjjip/23/1/23_22/_article,2,0,1,1,4,Yes,Yes
