id,databases,title,abstract,authors,year,publication_type,published_in,num_references,num_citations,url,doi,pdf
48,"Google Scholar, Web of Science",A hybrid approach to classifying Wikipedia article quality flaws with feature fusion framework,,Ping Wang; Muyan Li; Xiaodan Li; Heshen Zhou; Jingrui Hou,2021,Journal,"Expert Syst. Appl., 181, pp. 115089",30,6,https://www.semanticscholar.org/paper/88f8abd78cdeac3e003a4383d989a4239109375c,10.1016/J.ESWA.2021.115089,
49,Google Scholar,Requirements for the Linguistic Quality Control of Wikipedia Article,"The article focuses on key Wikipedia issues. One of them concerning Wikipedia article quality management has been considered. The importance of professional linguistic skills has been emphasized. Taking into account information quality model and crucial characteristics of well-written text, the linguistic quality control model has been provided. Three groups with the relevant features of the model have been allocated. The basic requirements for the linguistic quality control model have been suggested.",S. Albota; A. Peleshchyshyn,2019,Conference,"2019 IEEE 14th International Conference on Computer Sciences and Information Technologies (CSIT), 3, pp. 16-19",10,1,https://www.semanticscholar.org/paper/e6b0bac35a9e9e0aeae6695a981ea2aa91a9fa70,10.1109/STC-CSIT.2019.8929771,
50,"Google Scholar, Web of Science",The Quality and Readability of English Wikipedia Anatomy Articles,"Forty anatomy articles were sampled from English Wikipedia and assessed quantitatively and qualitatively. Quantitatively, each article’s edit history was analyzed by Wikipedia X‐tools, references and media were counted manually, and two readability indices were used to evaluate article readability. This analysis revealed that each article was updated 8.3 ± 6.8 times per month, and referenced with 33.5 ± 24.3 sources, such as journal articles and textbooks. Each article contained on average 14.0 ± 7.6 media items. The readability indices including: (1) Flesch–Kincaid Grade Level Readability Test and (2) Flesch Reading Ease Readability Formula demonstrated that the articles had low readability and were more appropriate for college students and above. Qualitatively, the sampled articles were evaluated by experts using a modified DISCERN survey. According to the modified DISCERN, 13 articles (32.5%), 24 articles (60%), 3 articles (7.5%), were rated as “good,” “moderate,” and “poor,” respectively. There were positive correlations between the DISCERN score and the number of edits (r = 0.537), number of editors (r = 0.560), and article length (r = 0.536). Strengths reported by the panel included completeness and coverage in 11 articles (27.5%), anatomical details in 10 articles (25%), and clinical details in 5 articles (12.5%). The panel also noted areas which could be improved, such as providing missing information in 28 articles (70%), inaccuracies in 10 articles (25%), and lack or poor use of images in 17 articles (42.5%). In conclusion, this study revealed that many Wikipedia anatomy articles were difficult to read. Each article’s quality was dependent on edit frequency and article length. Learners and students should be cautious when using Wikipedia articles for anatomy education due to these limitations.",A. Suwannakhan; Daniel Casanova-Martínez; Laphatrada Yurasakpong; Punchalee Montriwat; Krai Meemon; T. Limpanuparb,2020,Journal,"Anatomical Sciences Education, 13",61,14,https://www.semanticscholar.org/paper/b19f3cf7ec13c083f067875a80667c2ad540d6fc,10.1002/ase.1910,
51,"Google Scholar, Web of Science",Readability and quality of wikipedia pages on neurosurgical topics,,Omeed Modiri; D. Guha; N. Alotaibi; G. Ibrahim; N. Lipsman; A. Fallah,2018,Journal,"Clinical Neurology and Neurosurgery, 166, pp. 66-70",16,29,https://www.semanticscholar.org/paper/4364ec858a65cd9edae04e3fa6672613428c5423,10.1016/j.clineuro.2018.01.021,
52,Google Scholar,The Quality of Open Source Production: Zealots and Good Samaritans in the Case of Wikipedia,"New forms of production based in electronic technology, such as open-source and opencontent production, convert private commodities (typically software) into essentially public goods. A number of studies find that, like in other collective goods, incentives for reputation and group identity motivate contributions to open source goods, thereby overcoming the social dilemma inherent in producing such goods. In this paper we examine how contributor motivations affect the quality of contributions to the opencontent online encyclopedia Wikipedia. We find that quality is associated with contributor motivations, but in a surprisingly inconsistent way. Registered users’ quality increases with more contributions, consistent with the idea of participants motivated by reputation and commitment to the Wikipedia community. Surprisingly, however, we find the highest quality from the vast numbers of anonymous “Good Samaritans” who contribute only once. Our findings that Good Samaritans as well as committed “zealots” contribute high quality content to Wikipedia suggest that it is the quantity as well as the quality of contributors that positively affects the quality of open source production.",D. Anthony; Sean W. Smith; T. Williamson,2007,Unknown,N/A,52,49,https://www.semanticscholar.org/paper/ecddad562c391d87380de95c2053c3642afdb17c,,
53,"ACM, Google Scholar",Wikipedia and Westminster: Quality and Dynamics of Wikipedia Pages about UK Politicians,"Wikipedia is a major source of information providing a large variety of content online, trusted by readers from around the world. Readers go to Wikipedia to get reliable information about different subjects, one of the most popular being living people, and especially politicians. While a lot is known about the general usage and information consumption on Wikipedia, less is known about the life-cycle and quality of Wikipedia articles in the context of politics. The aim of this study is to quantify and qualify content production and consumption for articles about politicians, with a specific focus on UK Members of Parliament (MPs). First, we analyze spatio-temporal patterns of readers' and editors' engagement with MPs' Wikipedia pages, finding huge peaks of attention during election times, related to signs of engagement on other social media (e.g. Twitter). Second, we quantify editors' polarisation and find that most editors specialize in a specific party and choose specific news outlets as references. Finally we observe that the average citation quality is pretty high, with statements on 'Early life and career' missing citations most often (18%).",Pushkal Agarwal; M. Redi; Nishanth R. Sastry; E. Wood; Andrew Blick,2020,Conference,Proceedings of the 31st ACM Conference on Hypertext and Social Media,31,7,https://www.semanticscholar.org/paper/8b3292600f9b7e1d5a1fa5ff7ac2edd49380eb59,10.1145/3372923.3404817,
54,"Google Scholar, Web of Science",Network analysis of user generated content quality in Wikipedia,"Purpose – Social media platforms allow near‐unfettered creation and exchange of user generated content (UGC). Drawing from network science, the purpose of this paper is to examine whether high and low quality UGC differ in their connectivity structures in Wikipedia (which consists of interconnected user generated articles).Design/methodology/approach – Using Featured Articles as a proxy for high quality, a network analysis was undertaken of the revision history of six different language Wikipedias, to offer a network‐centric explanation for the emergence of quality in UGC.Findings – The network structure of interactions between articles and contributors plays an important role in the emergence of quality. Specifically the analysis reveals that high‐quality articles cluster in hubs that span structural holes.Research limitations/implications – The analysis does not capture the strength of interactions between articles and contributors. The implication of this limitation is that quality is viewed as a binar...",M. Ingawale; Amitava Dutta; R. Roy; P. Seetharaman,2013,Journal,"Online Inf. Rev., 37, pp. 602-619",44,21,https://www.semanticscholar.org/paper/53013037649e17b1194ae579a9a6e20bd7bf3e0d,10.1108/OIR-03-2011-0182,
55,"Google Scholar, Web of Science",Improving the Quality of Consumer Health Information on Wikipedia: Case Series,"Background Wikipedia is one of the most consulted health resources in the world. Since the public is using health information from Wikipedia to make health care decisions, improving the quality of that health information is in the public interest. The open editable content design of Wikipedia and quality control processes in place provide an opportunity to add high-value, evidence-based information and take an active role in improving the health care information infrastructure. Objective The aim of this project was to enhance Wikipedia health pages using high-quality, current research findings and track the persistence of those edits and number of page views after the changes to assess the reach of this initiative. Methods We conducted Wikipedia Editathons with 3 different cohorts of Physical Therapy (PT) students to add high-quality health information to existing Wikipedia pages. Students synthesized best evidence information and updated and/or corrected existing Wikipedia entries on specific health pages. To evaluate the impact of these contributions, we examined two factors: (1) response to our contributions from the Wikipedia editing community, including number and type of subsequent edits as well as persistence of the student contributions and (2) number of page views by the public from the time of the page edits. Results A total of 98 PT students in 3 different cohorts engaged in Editathons, editing 24 health pages. Of the 24 edits, 22 persisted at the end of the observation period (from time of entry to May 31, 2018) and received nearly 8 million page views. Each health page had an average of 354,724 page views. Conclusions The Wikipedia Editathon is an effective way to continuously enhance the quality of health information available on Wikipedia. It is also an excellent way of bridging health technology with best-evidence medical facts and disseminating accurate, useful information to the public.",S. S. Weiner; J. Horbacewicz; Lane Rasberry; Yocheved Bensinger-Brody,2019,Journal,"Journal of Medical Internet Research, 21",14,18,https://www.semanticscholar.org/paper/967262de8d06ad0a0c182dc826a5a7bda4397d2f,10.2196/12450,https://www.jmir.org/2019/3/e12450/PDF
56,Google Scholar,Quality in Internet Collective Goods : Zealots and Good Samaritans in the Case of Wikipedia,"One important innovation in information and communication technology developed over the past decade was organizational rather than merely technological. Open source production is remarkable because it converts a private commodity (typically software) into a public good. A number of studies examine the factors motivating contributions to open source production goods, but we argue it is important to understand the causes of high quality contributions to such goods. In this paper, we analyze quality in the open source online encyclopedia Wikipedia. We find that, for users who create an online persona through a registered user name, the quality of contributions increases as the number of contributions increase, consistent with the idea of experts motivated by reputation and committed to the Wikipedia community. Unexpectedly, however, we find the highest quality contributions come from the vast numbers of anonymous "" Good Samaritans "" who contribute infrequently. Our findings that Good Samaritans as well as committed "" Zealots "" contribute high quality content to Wikipedia suggest that open source production is remarkable as much for its organizational as its technological innovation that enables vast numbers of anonymous one-time contributors to create high quality, essentially public goods.",D. Anthony; Sean W. Smith; T. Williamson,2005,Unknown,N/A,49,75,https://www.semanticscholar.org/paper/da03cd44d8a163a185bd6e9d040c2ce22fc0ad14,,
57,"Google Scholar, Web of Science",Knowledge categorization affects popularity and quality of Wikipedia articles,"The existence of a shared classification system is essential to knowledge production, transfer, and sharing. Studies of knowledge classification, however, rarely consider the fact that knowledge categories exist within hierarchical information systems designed to facilitate knowledge search and discovery. This neglect is problematic whenever information about categorical membership is itself used to evaluate the quality of the items that the category contains. The main objective of this paper is to show that the effects of category membership depend on the position that a category occupies in the hierarchical knowledge classification system of Wikipedia—an open knowledge production and sharing platform taking the form of a freely accessible on-line encyclopedia. Using data on all English-language Wikipedia articles, we examine how the position that a category occupies in the classification hierarchy affects the attention that articles in that category attract from Wikipedia editors, and their evaluation of quality of the Wikipedia articles. Specifically, we show that Wikipedia articles assigned to coarse-grained categories (i. e., categories that occupy higher positions in the hierarchical knowledge classification system) garner more attention from Wikipedia editors (i. e., attract a higher volume of text editing activity), but receive lower evaluations (i. e., they are considered to be of lower quality). The negative relation between attention and quality implied by this result is consistent with current theories of social categorization, but it also goes beyond available results by showing that the effects of categorization on evaluation depend on the position that a category occupies in a hierarchical knowledge classification system.",J. Lerner; A. Lomi,2018,Journal,"PLoS ONE, 13",70,21,https://www.semanticscholar.org/paper/fa1db666c361fd03226c8e7bd81c5eb515719ac6,10.1371/journal.pone.0190674,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0190674&type=printable
58,"ACM, Google Scholar",On improving wikipedia search using article quality,"Wikipedia is presently the largest free-and-open online encyclopedia collaboratively edited and maintained by volunteers. While Wikipedia offers full-text search to its users, the accuracy of its relevance-based search can be compromised by poor quality articles edited by non-experts and inexperienced contributors. In this paper, we propose a framework that re-ranks Wikipedia search results considering article quality. We develop two quality measurement models, namely Basic and P<scp>eer</scp>R<scp>eview</scp>, to derive article quality based on co-authoring data gathered from articles' edit history. Compared withWikipedia's full-text search engine, Google and Wikiseek, our experimental results showed that (i) quality-only ranking produced by P<scp>eer</scp>R<scp>eview</scp> gives comparable performance to that of Wikipedia and Wikiseek; (ii) P<scp>eer</scp>R<scp>eview</scp> combined with relevance ranking outperforms Wikipedia's full-text search significantly, delivering search accuracy comparable to Google.",Meiqun Hu; Ee-Peng Lim; Aixin Sun; Hady W. Lauw; Ba-Quy Vuong,2007,Conference,"ACM International Workshop on Web Information and Data Management, pp. 145-152",25,19,https://www.semanticscholar.org/paper/2b05d442c55216c5819d0924016989f8dec3b23b,10.1145/1316902.1316926,
59,Google Scholar,Computational Trust in Web Content Quality: A Comparative Evalutation on the Wikipedia Project,Computational Trust in Web Content Quality: A Comparative Evalutation on the Wikipedia Project,Pierpaolo Dondio; Stephen Barrett,2007,Journal,"Informatica (Slovenia), 31, pp. 151-160",23,47,https://www.semanticscholar.org/paper/2bcb4e038b95d2ac3e7019580529af9a9be1e9d8,10.21427/D70W52,
60,"ACM, Google Scholar",Mutual evaluation of editors and texts for assessing quality of Wikipedia articles,"In this paper, we propose a method to identify good quality Wikipedia articles by mutually evaluating editors and texts. A major approach for assessing article quality is a text survival ratio based approach. In this approach, when a text survives beyond multiple edits, the text is assessed as good quality. This approach assumes that poor quality texts are deleted by editors with high possibility. However, many vandals delete good quality texts frequently, then the survival ratios of good quality texts are improperly decreased by vandals. As a result, many good quality texts are unfairly assessed as poor quality. In our method, we consider editor quality for calculating text quality, and decrease the impacts on text qualities by the vandals who has low quality. Using this improvement, the accuracy of the text quality should be improved. However, an inherent problem of this idea is that the editor qualities are calculated by the text qualities. To solve this problem, we mutually calculate the editor and text qualities until they converge. We did our experimental evaluation, and we confirmed that the proposed method could accurately assess the text qualities.",Yumiko Suzuki; M. Yoshikawa,2012,Conference,N/A,26,20,https://www.semanticscholar.org/paper/6e56f240fc876a9ac99b8377108672015142e708,10.1145/2462932.2462956,
61,"ACM, Google Scholar",Mining the Factors Affecting the Quality of Wikipedia Articles,"In order to observe the variation of factors affecting the quality of Wikipedia articles during the information quality improvement process, we proposed 28 metrics from four aspects, including lingual, structural, historical and reputational features, and then weighted each metrics indifferent stages by using neural network. We found lingual features weighted more in the lower quality stages, and structural features, along with historical features, became more important while article quality improved. However, reputational features did not act as important as expected. The findings indicate that the information quality is mainly affected by completeness, and well-written is a basic requirement in the initial stage. Reputation of authors or editors is not so important in Wikipedia because of its horizontal structure.",Kewen Wu; Qinghua Zhu; Y. Zhao; Hua Zheng,2010,Conference,"2010 International Conference of Information Science and Management Engineering, 1, pp. 343-346",8,13,https://www.semanticscholar.org/paper/cc68c28bc765082fa85c23fb71d7cdf212895185,10.1109/ISME.2010.114,
62,"Google Scholar, Web of Science",Measures for Quality Assessment of Articles and Infoboxes in Multilingual Wikipedia,,Włodzimierz Lewoniewski,2018,Conference,"Business Information Systems, pp. 619-633",69,10,https://www.semanticscholar.org/paper/3eaffa79334d8a91267b800d34c56bb41faa3c5b,10.1007/978-3-030-04849-5_53,
63,"Google Scholar, Web of Science",Measuring the quality of scientific references in Wikipedia: an analysis of more than 115M citations to over 800 000 scientific articles,"Wikipedia is a widely used online reference work which cites hundreds of thousands of scientific articles across its entries. The quality of these citations has not been previously measured, and such measurements have a bearing on the reliability and quality of the scientific portions of this reference work. Using a novel technique, a massive database of qualitatively described citations, and machine learning algorithms, we analyzed 1 923 575 Wikipedia articles which cited a total of 824 298 scientific articles in our database and found that most scientific articles cited by Wikipedia articles are uncited or untested by subsequent studies, and the remainder show a wide variability in contradicting or supporting evidence. Additionally, we analyzed 51 804 643 scientific articles from journals indexed in the Web of Science and found that similarly most were uncited or untested by subsequent studies, while the remainder show a wide variability in contradicting or supporting evidence.",J. M. Nicholson; A. Uppala; Matthias Sieber; P. Grabitz; M. Mordaunt; S. Rife,2020,Journal,"The FEBS Journal, 288",21,2,https://www.semanticscholar.org/paper/76e53f6e46b7b8a8ecfe735a23d4531dbd241911,10.1111/febs.15608,
64,"ACM, Google Scholar, Web of Science",Classifying Wikipedia Article Quality With Revision History Networks,"We present a novel model for classifying the quality of Wikipedia articles based on structural properties of a network representation of the article's revision history. We create revision history networks (an adaptation of Keegan et. al's article trajectory networks [7]), where nodes correspond to individual editors of an article, and edges join the authors of consecutive revisions. Using descriptive statistics generated from these networks, along with general properties like the number of edits and article size, we predict which of six quality classes (Start, Stub, C-Class, B-Class, Good, Featured) articles belong to, attaining a classification accuracy of 49.35% on a stratified sample of articles. These results suggest that structures of collaboration underlying the creation of articles, and not just the content of the article, should be considered for accurate quality classification.",Narun K. Raman; Nathaniel Sauerberg; Jonah Fisher; Sneha Narayan,2020,Conference,Proceedings of the 16th International Symposium on Open Collaboration,22,7,https://www.semanticscholar.org/paper/8a74f75cb449bff4833be8f77ccf5f2493d75a19,10.1145/3412569.3412581,
65,"Google Scholar, Web of Science",WikipediaViz: Conveying article quality for casual Wikipedia readers,"As Wikipedia has become one of the most used knowledge bases worldwide, the problem of the trustworthiness of the information it disseminates becomes central. With WikipediaViz, we introduce five visual indicators integrated to the Wikipedia layout that can keep casual Wikipedia readers aware of important metainformation about the articles they read. The design of WikipediaViz was inspired by two participatory design sessions with expert Wikipedia writers and sociologists who explained the clues they used to quickly assess the trustworthiness of articles. According to these results, we propose five metrics for Maturity and Quality assessment of Wikipedia articles and their accompanying visualizations to provide the readers with important clues about the editing process at a glance. We also report and discuss about the results of the user studies we conducted. Two preliminary pilot studies show that all our subjects trust Wikipedia articles almost blindly. With the third study, we show that WikipediaViz significantly reduces the time required to assess the quality of articles while maintaining a good accuracy.",Fanny Chevalier; Stéphane Huot; Jean-Daniel Fekete,2010,Conference,"2010 IEEE Pacific Visualization Symposium (PacificVis), pp. 49-56",26,37,https://www.semanticscholar.org/paper/07a813d7de9ac072ed970217024a51a835433654,10.1109/PACIFICVIS.2010.5429611,http://hal.inria.fr/docs/00/55/06/98/PDF/WikipediaViz-PacificVis2010.pdf
66,"Google Scholar, Web of Science",Multilingual Ranking of Wikipedia Articles with Quality and Popularity Assessment in Different Topics,"On Wikipedia, articles about various topics can be created and edited independently in each language version. Therefore, the quality of information about the same topic depends on the language. Any interested user can improve an article and that improvement may depend on the popularity of the article. The goal of this study is to show what topics are best represented in different language versions of Wikipedia using results of quality assessment for over 39 million articles in 55 languages. In this paper, we also analyze how popular selected topics are among readers and authors in various languages. We used two approaches to assign articles to various topics. First, we selected 27 main multilingual categories and analyzed all their connections with sub-categories based on information extracted from over 10 million categories in 55 language versions. To classify the articles to one of the 27 main categories, we took into account over 400 million links from articles to over 10 million categories and over 26 million links between categories. In the second approach, we used data from DBpedia and Wikidata. We also showed how the results of the study can be used to build local and global rankings of the Wikipedia content.",Włodzimierz Lewoniewski; Krzysztof Węcel; W. Abramowicz,2019,Journal,"Comput., 8, pp. 60",90,22,https://www.semanticscholar.org/paper/d5b3f3e9403eda8b45184951b269ee7997452c6b,10.3390/COMPUTERS8030060,https://www.mdpi.com/2073-431X/8/3/60/pdf
67,"ACM, Google Scholar, Web of Science",Automatically assessing the quality of Wikipedia contents,"With the development of Web 2.0 technologies, people have gone from being mere content users to content generators. In this context, the evaluation of the quality of (potential) information available online has become a crucial issue. Nowadays, one of the biggest online resources that users rely on as a knowledge base is Wikipedia. The collaborative aspect at the basis of Wikipedia can let to the possible creation of low-quality articles or even misinformation if the process of monitoring the generation and the revision of articles is not performed in a precise and timely way. For this reason, in this paper, the problem of automatically evaluating the quality of Wikipedia contents is considered, by proposing a supervised approach based on Machine Learning to perform the classification of articles on qualitative bases. With respect to prior literature, a wider set of features connected to Wikipedia articles has been taken into account, as well as previously unconsidered aspects connected to the generation of a labeled dataset to train the model, and the use of Gradient Boosting, which produced encouraging results.",Elias Bassani; Marco Viviani,2019,Conference,Proceedings of the 34th ACM/SIGAPP Symposium on Applied Computing,27,6,https://www.semanticscholar.org/paper/2a9be636902fe22e4d04d4f9721e4e914512e3d7,10.1145/3297280.3297357,
68,"Google Scholar, Web of Science",Pharmacy students can improve access to quality medicines information by editing Wikipedia articles,,D. Apollonio; Keren Broyde; A. Azzam; Michael De Guia; James M Heilman; T. Brock,2018,Journal,"BMC Medical Education, 18",43,17,https://www.semanticscholar.org/paper/3ad3f5e0fdc59499a4b7d40df50b61f9e3ade7d2,10.1186/s12909-018-1375-z,
69,"Google Scholar, Web of Science",Wisdom of crowds: the effect of participant composition and contribution behavior on Wikipedia article quality,"This paper aims to explore the effect of participant composition and contribution behavior of the different types of participants on the quality of knowledge generation in online communities.,This study samples all the featured articles in Chinese Wikipedia and performs a Cox regression to reveal how participant composition and contribution behavior affect the quality of articles in different contexts.,The results show that an increase in the number of participants increases the possibility of either enhancing or reducing the article quality. In most cases, the greater the proportion of core members (people who frequently participate in editing), the higher the possibility of enhancing the article quality. Occasional participants’ editorial behavior hinders quality promotion, this negative effect weakens when such editorial behavior becomes more frequent.,The findings help to better leverage the role of online communities in practice and to achieve knowledge collaboration in a more efficient manner. For example, an appropriate centralized organizational form should be established in online communities to improve the efficiency of crowd contributions. And it is worth developing mechanism to encourage participants to frequently participate in editing the article.,This study contributes to the research on the organizational forms of online communities by showing the effect of participant composition and behavior in the new form of organizing on knowledge generation. This study also contributes to the research on wisdom of crowds by revealing who in a group of participants, in what context, and by what means influence knowledge generation.",Yan Lin; Chenxi Wang,2020,Journal,"J. Knowl. Manag., 24, pp. 324-345",54,4,https://www.semanticscholar.org/paper/da5790edd4224160d1da8107ba083736c9b8683e,10.1108/jkm-08-2019-0416,
70,"ACM, Google Scholar, Web of Science",Quality Evaluation of Wikipedia Articles through Edit History and Editor Groups,,SetsyWei Wang; M. Iwaihara,2010,Conference,"Asia-Pacific Web Conference, pp. 188-199",18,16,https://www.semanticscholar.org/paper/527699259b21d363d57ac38db4986bb433c3ded5,10.1007/978-3-642-20291-9_20,
71,"Google Scholar, Web of Science",Application of SEO Metrics to Determine the Quality of Wikipedia Articles and Their Sources,,Włodzimierz Lewoniewski; Ralf-Christian Härting; Krzysztof Węcel; Christopher Reichstein; W. Abramowicz,2018,Conference,"International Conference on Information and Software Technologies, pp. 139-152",21,7,https://www.semanticscholar.org/paper/662ee60986d028487b4d06fd970e6645aa03728d,10.1007/978-3-319-99972-2_11,
72,"ACM, Google Scholar, Web of Science",Diversity of editors and teams versus quality of cooperative work: experiments on wikipedia,,M. Sydow; Katarzyna Baraniak; Paweł Teisseyre,2017,Journal,"Journal of Intelligent Information Systems, 48, pp. 601-632",31,10,https://www.semanticscholar.org/paper/4e5cdf30ab1fbd13404068c1c7894f8eeb33d0bd,10.1007/s10844-016-0428-1,https://link.springer.com/content/pdf/10.1007%2Fs10844-016-0428-1.pdf
73,"Google Scholar, Web of Science",Readability and quality of Wikipedia articles on pelvic floor disorders,,S. Handler; S. Eckhardt; Y. Takashima; A. Jackson; Christina Truong; T. Yazdany,2021,Journal,"International Urogynecology Journal, 32, pp. 3249 - 3258",32,7,https://www.semanticscholar.org/paper/a6deb56a4f7ffb0859002c508ba9754b45906080,10.1007/s00192-021-04776-0,
74,"ACM, Google Scholar, Web of Science",A deep learning-based quality assessment model of collaboratively edited documents: A case study of Wikipedia,"Wikipedia is becoming increasingly critical in helping people obtain information and knowledge. Its leading advantage is that users can not only access information but also modify it. However, this presents a challenging issue: how can we measure the quality of a Wikipedia article? The existing approaches assess Wikipedia quality by statistical models or traditional machine learning algorithms. However, their performance is not satisfactory. Moreover, most existing models fail to extract complete information from articles, which degrades the model’s performance. In this article, we first survey related works and summarise a comprehensive feature framework. Then, state-of-the-art deep learning models are introduced and applied to assess Wikipedia quality. Finally, a comparison among deep learning models and traditional machine learning models is conducted to validate the effectiveness of the proposed model. The models are compared extensively in terms of their training and classification performance. Moreover, the importance of each feature and the importance of different feature sets are analysed separately.",Ping Wang; Xiaodan Li; Renli Wu,2019,Journal,"Journal of Information Science, 47, pp. 176 - 191",64,2,https://www.semanticscholar.org/paper/0abf43df2e9c0fee1262e9d127c05383ffc78251,10.1177/0165551519877646,
75,Google Scholar,Overview of the 1th International Competition on Quality Flaw Prediction in Wikipedia,"The paper overviews the task ""Quality Flaw Prediction in Wikipedia"" of the PAN'12 competition. An evaluation corpus is introduced which comprises 1 592 226 English Wikipedia articles, of which 208 228 have been tagged to con- tain one of ten important quality flaws. Moreover, the performance of three qual- ity flaw classifiers is evaluated.",Maik Anderka; Benno Stein,2012,Conference,"Conference and Labs of the Evaluation Forum, ",16,16,https://www.semanticscholar.org/paper/d87a2a5d19419259895a23ff0003092a094518f2,,
76,"ACM, Google Scholar",Automatically Labeling Low Quality Content on Wikipedia By Leveraging Patterns in Editing Behaviors,"Wikipedia articles aim to be definitive sources of encyclopedic content. Yet, only 0.6% of Wikipedia articles have high quality according to its quality scale due to insufficient number of Wikipedia editors and enormous number of articles. Supervised Machine Learning (ML) quality improvement approaches that can automatically identify and fix content issues rely on manual labels of individual Wikipedia sentence quality. However, current labeling approaches are tedious and produce noisy labels. Here, we propose an automated labeling approach that identifies the semantic category (e.g., adding citations, clarifications) of historic Wikipedia edits and uses the modified sentences prior to the edit as examples that require that semantic improvement. Highest-rated article sentences are examples that no longer need semantic improvements. We show that training existing sentence quality classification algorithms on our labels improves their performance compared to training them on existing labels. Our work shows that editing behaviors of Wikipedia editors provide better labels than labels generated by crowdworkers who lack the context to make judgments that the editors would agree with.",Sumit Asthana; Sabrina Tobar Thommel; Aaron L Halfaker; Nikola Banovic,2021,Conference,"Proceedings of the ACM on Human-Computer Interaction, 5, pp. 1 - 23",49,0,https://www.semanticscholar.org/paper/65063772f09683c581f281ec3aa640549cd9aaee,10.1145/3479503,http://arxiv.org/pdf/2108.02252
77,"ACM, Google Scholar",Your process is showing: controversy management and perceived quality in wikipedia,"Large-scale collaboration systems often separate their content from the deliberation around how that content was produced. Surfacing this deliberation may engender trust in the content generation process if the deliberation process appears fair, well-reasoned, and thorough. Alternatively, it could encourage doubts about content quality, especially if the process appears messy or biased. In this paper we report the results of an experiment where we found that surfacing deliberation generally led to decreases in perceptions of quality for the article under consideration, especially - but not only - if the discussion revealed conflict. The effect size depends on the type of editors' interactions. Finally, this decrease in actual article quality rating was accompanied by self-reported improved perceptions of the article and Wikipedia overall.",W. Towne; A. Kittur; Peter Kinnaird; J. Herbsleb,2013,Conference,Proceedings of the 2013 conference on Computer supported cooperative work,36,17,https://www.semanticscholar.org/paper/d38b8b87051c3597811385018593daa3e491ac14,10.1145/2441776.2441896,
78,"ACM, Google Scholar, Web of Science",Article quality classification on Wikipedia: introducing document embeddings and content features,"The quality of articles on the Wikipedia platform is vital for its success. Currently, the assessment of quality is performed manually by the Wikipedia community, where editors classify articles into pre-defined quality classes. However, this approach is hardly scalable and hence, approaches for the automatic classification have been investigated. In this paper, we extend this previous line of research on article quality classification by extending the set of features with novel content and edit features (e.g., document em-beddings of articles). We propose a classification approach utilizing gradient boosted trees based on this novel, extended set of features extracted from Wikipedia articles. Based on an established dataset containing Wikipedia articles and quality classes, we show that our approach is able to substantially outperform previous approaches (also including recent deep learning methods). Furthermore, we shed light on the contribution of individual features and show that the proposed features indeed capture the quality of an article well.",Manuel Schmidt; Eva Zangerle,2019,Conference,Proceedings of the 15th International Symposium on Open Collaboration,24,5,https://www.semanticscholar.org/paper/beb2803e597f83e85c76f6db6834bb88a7aa8f6b,10.1145/3306446.3340831,
79,"ACM, Google Scholar, Web of Science",Assessing quality score of Wikipedia article using mutual evaluation of editors and texts,"In this paper, we propose a method for assessing quality scores of Wikipedia articles by mutually evaluating editors and texts. Survival ratio based approach is a major approach to assessing article quality. In this approach, when a text survives beyond multiple edits, the text is assessed as good quality, because poor quality texts have a high probability of being deleted by editors. However, many vandals, low quality editors, delete good quality texts frequently, which improperly decreases the survival ratios of good quality texts. As a result, many good quality texts are unfairly assessed as poor quality. In our method, we consider editor quality score for calculating text quality score, and decrease the impact on text quality by vandals. Using this improvement, the accuracy of the text quality score should be improved. However, an inherent problem with this idea is that the editor quality scores are calculated by the text quality scores. To solve this problem, we mutually calculate the editor and text quality scores until they converge. In this paper, we prove that the text quality score converges. We did our experimental evaluation, and confirmed that our proposed method could accurately assess the text quality scores.",Yumiko Suzuki; M. Yoshikawa,2013,Conference,Proceedings of the 22nd ACM international conference on Information & Knowledge Management,8,17,https://www.semanticscholar.org/paper/68b167406f708ce39421126bdbb576930c8347a0,10.1145/2505515.2505610,
80,"ACM, Google Scholar",Measuring the Quality of Edits to Wikipedia,"Wikipedia is unique among reference works both in its scale and in the openness of its editing interface. The question of how it can achieve and maintain high-quality encyclopedic articles is an area of active research. In order to address this question, researchers need to build consensus around a sensible metric to assess the quality of contributions to articles. This measure must not only reflect an intuitive concept of ""quality,"" but must also be scalable and run efficiently. Building on prior work in this area, this paper uses human raters through Amazon Mechanical Turk to validate an efficient, automated quality metric.",Susan Biancani,2014,Conference,Proceedings of The International Symposium on Open Collaboration,11,10,https://www.semanticscholar.org/paper/cd8748fd30092dff2739a2471cbefc78c25e1e53,10.1145/2641580.2641621,
81,Google Scholar,Mining and Predicting Temporal Patterns in the Quality Evolution of Wikipedia Articles,"In online open production communities like Wikipedia, quality is often an important criterion to assess the success of peer collaboration activities. Over the years we have accumulated a nice body ...",Haifeng Zhang; Yuqing Ren; R. Kraut,2018,Conference,"Hawaii International Conference on System Sciences, pp. 1-10",46,7,https://www.semanticscholar.org/paper/0eed508e65f53dd92fa129523129664879695849,10.5465/AMBPP.2018.13746ABSTRACT,https://aisel.aisnet.org/cgi/viewcontent.cgi?article=1569&context=hicss-53
