Id,Title,URL,PDF,Features/Metrics,ML,Exclusion,Include,Notes,Keywords,Type,Feature List,ML,Algorithms,Results,Dataset Size,# Classes,Nmaj,Nmin,IR,Languages,Reproducibility,Other
115,On the Use of PU Learning for Quality Flaw Prediction in Wikipedia,https://www.researchgate.net/publication/236565329_On_the_Use_of_PU_Learning_for_Quality_Flaw_Prediction_in_Wikipedia,https://ceur-ws.org/Vol-1178/CLEF2012wn-PAN-FerrettiEt2012.pdf,Yes,Yes,,Yes,,N/A,classical + features,,,,,,,,,,,,
117,QualityRank: assessing quality of wikipedia articles by mutually evaluating editors and texts,https://dl.acm.org/doi/10.1145/2309996.2310047,https://dl.acm.org/doi/pdf/10.1145/2309996.2310047,Yes,No,,Yes,Mutual evaluation,"Quality, Peer Review, Edit History, Link Analysis",metric-based,,,,,,,,,,,,
118,A Framework for Assessing the Quality of Wikipedia Articles: A Meta-synthesis of the Literature,https://www.magiran.com/paper/2379640,https://ijism.ricest.ac.ir/article_698359_9629f4a6d2a3231b83c48768209dfba2.pdf,Yes,No,,Yes,,"Information quality, assessment, Wikipedia, Meta-synthesis",,P. 8,,,,,,,,,,,Systematic Review
119,Assessing Information Quality of Wikipedia Articles through Google’s E-A-T Model,https://ieeexplore.ieee.org/document/9770051,https://ieeexplore.ieee.org/ielx7/6287639/6514899/09770051.pdf,Yes,Yes,,Yes,revisor 2,"Authority, Expertise, Google’s E-A-T, Hybrid approach, Information quality, Web 2.0,
Wikipedia, Trustworthiness",,,,,,,,,,,,,
120,How to Inspect and Measure Data Quality about Scientific Publications: Use Case of Wikipedia and CRIS Databases,https://www.mdpi.com/1999-4893/13/5/107,https://www.mdpi.com/1999-4893/13/5/107/pdf?version=1588759588,,,Focus,No,"mentions metrics somewhat, but n/a to Wikipedia, right?","Wikipedia, current research information systems (CRIS), publications data, data quality, objective quality dimensions, research data processing, data management; data analysis, data, measurement; completeness, consistency, correctness, timeliness, efficient decision-making",,,,,,,,,,,,,
122,Measuring Quality of Wikipedia Articles by Feature Fusion‐based Stack Learning,https://asistdl.onlinelibrary.wiley.com/doi/10.1002/pra2.449,,Yes,Yes,,Yes,revisor 2,"Wikipedia article quality assessment, language representation model, deep ensemble learning",DL + features,,,,,,,,,,,,
125,"How do metrics of link analysis correlate to quality, relevance and popularity in wikipedia?",https://dl.acm.org/doi/10.1145/2526188.2526198,https://dl.acm.org/doi/pdf/10.1145/2526188.2526198,Yes,No,,Yes,,"Link Analysis, Wikipedia, Quality of Content",suggests features/metrics + correlates,Table 1? didn't check a lot,,,,,,,,,,,
127,"On the Relation of Edit Behavior, Link Structure, and Article Quality on Wikipedia",https://link.springer.com/chapter/10.1007/978-3-030-36683-4_20,https://link.springer.com/content/pdf/10.1007/978-3-030-36683-4_20.pdf,,,Focus,No,Focuses on controversy and edit wars,"Wikipedia, Edit behavior, Link structure, Article quality, Edit wars, Semantic edit types, Multi-label classification, Network analysis",,,,,,,,,,,,,
128,A Psycho-Lexical Approach to the Assessment of Information Quality on Wikipedia,https://ieeexplore.ieee.org/document/7397452,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7397452,Yes,Yes,,Yes,incluido no artigo,"Wikipedia, LIWC, Information Quality, User-generated Content",Classical + Features,,,,,,,,,,,,
129,On the Evolution of Quality Flaws and the Effectiveness of Cleanup Tags in the English Wikipedia,https://www.semanticscholar.org/paper/On-the-Evolution-of-Quality-Flaws-and-the-of-Tags-Anderka-Stein/b6aa3e619142d395c01857ec6e7b3b14da8fd0f7,https://webis.de/downloads/publications/papers/anderka_2012b.pdf,No,No,,No,,"Wikipedia, Cleanup Tags, Quality Flaws, Information Quality, Quality Flaw Evolution",,,,,,,,,,,,,
130,Thai Wikipedia article quality filtering algorithm,https://www.iaeng.org/publication/IMECS2017/IMECS2017_pp299-305.pdf,https://www.iaeng.org/publication/IMECS2017/IMECS2017_pp299-305.pdf,Yes,Yes,,Yes,,"Thai Wikipedia article, decision tree, feature
set",classical + features,,,,,,,,,,,,
131,Assessing the Quality of Wikipedia Pages Using Edit Longevity and Contributor Centrality,https://arxiv.org/abs/1206.2517,https://arxiv.org/pdf/1206.2517.pdf,Yes,No,,Yes,,N/A,metric-based,,,,,,,,,,,,
132,Towards Information Quality Assurance in Spanish: Wikipedia,https://www.semanticscholar.org/paper/8cba1878de84959de7a5401c9181819ee9bdf205,https://host170.sedici.unlp.edu.ar/server/api/core/bitstreams/6908402f-f564-4313-aa26-a121a593a2a6/content,Yes,Yes,,Yes,,"Featured Article Identification, Information Quality, Quality Flaws Prediction, Wikipedia",classical + features,Table 1,,,,,,,,,,,
133,Effects of Implicit Positive Ratings for Quality Assessment of Wikipedia Articles,https://www.jstage.jst.go.jp/article/ipsjjip/21/2/21_342/_article,https://www.jstage.jst.go.jp/article/ipsjjip/21/2/21_342/_pdf,Yes,No,,Yes,,"wikipedia, reputation, quality, edit history",metric-based,,,,,,,,,,,,
136,Assessing the Quality of Wikipedia Articles,https://dl.acm.org/doi/10.1145/3453800.3453801,https://dl.acm.org/doi/pdf/10.1145/3453800.3453801,Yes,Yes,,Yes,,"Wikipedia, machine learning, quality assessment",classical + features,,,,,,,,,,,,
139,Using Morphological and Semantic Features for the Quality Assessment of Russian Wikipedia,https://link.springer.com/chapter/10.1007/978-3-319-67642-5_46,https://link.springer.com/content/pdf/10.1007/978-3-319-67642-5_46.pdf,Yes,Yes,,Yes,,"Quality assessment of texts, Morphological and semantics, features, Russian Wikipedia articles, Random forests classification, Encyclopedic, Readability, Subjectivism",classical + features (kind of),,,,,,,,,,,,
142,Quality Assessment of Peer-Produced Content in Knowledge Repositories Using Big Data and Social Networks: The Case of Implicit Collaboration in Wikipedia,https://dl.acm.org/doi/10.1145/3371041.3371045,https://dl.acm.org/doi/pdf/10.1145/3371041.3371045,Yes,Yes,,Yes,incluido no artigo,"Implicit Collaboration, Wikipedia, Social Networks, Edits, Discussions",classical + features,Table 1 but check article for more,,,,,,,,,,,
143,Knowledge Quality of Collaborative Editing in Wikipedia: an Integrative Perspective of Social Capital and Team Conflict,https://aisel.aisnet.org/pacis2015/171/,,,, No access,No,,,,,,,,,,,,,,,
145,Equal opportunities in the access to quality online health information? A multi-lingual study on Wikipedia,https://dl.acm.org/doi/10.1145/3479986.3480000,https://dl.acm.org/doi/pdf/10.1145/3479986.3480000,Yes,No,,Yes,,"Information Quality, Wikipedia, Health information, Multilingual information access",metric-based (stvilia),S. 5?,,,,,,,,,,,
147,Predicting Information Quality Flaws in Wikipedia by Using Classical and Deep Learning Approaches,https://link.springer.com/chapter/10.1007/978-3-030-48325-8_1,https://link.springer.com/content/pdf/10.1007/978-3-030-48325-8_1,Yes,Yes,,Yes,,"Wikipedia, Information Quality, Quality Flaws Prediction, Deep Learning",DL + features,Table 1,,,,,,,,,,,
148,Quality assessment of Arabic web content: The case of the Arabic Wikipedia,https://ieeexplore.ieee.org/document/6987558,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6987558,Yes,No,,Yes,,"Document Quality Assessment, Arabic Wikipedia, Web Content Quality, Quality Assessment Parameters",suggests features + correlates,S. III A),,,,,,,,,,,
149,Determining Quality of Articles in Polish Wikipedia Based on Linguistic Features,https://link.springer.com/chapter/10.1007/978-3-319-99972-2_45,https://link.springer.com/content/pdf/10.1007/978-3-319-99972-2_45,Yes,Yes,,Yes,,"Wikipedia, NLP, Data Quality, Quality Assessment Random Forest , Polish, Linguistic Features, Linguistics Data Mining",classical + features,,,,,,,,,,,,
150,Quality Classification of ASEAN Wikipedia Articles using Statistical Features,https://ieeexplore.ieee.org/document/8692954/,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?tp=&arnumber=8692954&ref=,Yes,Yes,,Yes,,"Quality of articles, Southeast Asian languages
Wikipedia, Naïve Bayes, Decision tree, Statistical feature",classical + features,,,,,,,,,,,,
155,Cumulative Experience and Recent Behavior and their Relation to Content Quality on Wikipedia,https://academic.oup.com/iwc/article/29/5/737/3885842,https://academic.oup.com/iwc/article/29/5/737/3885842,Yes,No,,Yes,,"collaborative and social computing; computer supported cooperative work, blogs, wikis and similar",suggests features/metrics + correlates,"paragraph just before 4.4, nothing more",,,,,,,,,,,
157,On Quality Assesement in Wikipedia Articles Based on Markov Random Fields,https://link.springer.com/chapter/10.1007/978-3-319-54472-4_73,https://link.springer.com/content/pdf/10.1007/978-3-319-54472-4_73,Yes,No,,Yes,,"Wikipedia, Quality prediction, Iterative classification",metric-based,,,,,,,,,,,,
158,Quality of Articles in Wikipedia,http://ch.whu.edu.cn/en/article/id/724,http://ch.whu.edu.cn/en/article/id/724,,,Not English,No,,,,,,,,,,,,,,,
159,Assessing Quality Values of Wikipedia Articles Using Implicit Positive and Negative Ratings,https://link.springer.com/chapter/10.1007/978-3-642-32281-5_13,https://link.springer.com/content/pdf/10.1007/978-3-642-32281-5_13,Yes,No,,Yes,Mutual evaluation,"Wikipedia, Edit History, Quality, Reputation",metric-based,,,,,,,,,,,,
160,On the Assessment of Information Quality in Spanish Wikipedia,http://sedici.unlp.edu.ar/handle/10915/56750,http://sedici.unlp.edu.ar/bitstream/handle/10915/56750/Documento_completo.pdf-PDFA.pdf?isAllowed=y&sequence=1,Yes,Yes,,Yes,,"Wikipedia, Information Quality, Featured Article Identification, Quality Flaws Prediction",classical + features,Section 2,,,,,,,,,,,
161,Assessing the quality of health-related Wikipedia articles with generic and specific metrics,https://dl.acm.org/doi/10.1145/3442442.3452355,https://dl.acm.org/doi/pdf/10.1145/3442442.3452355,Yes,No,,Yes,incluido no artigo,"Information Quality, Wikipedia, Health-related Content",metric-based,,,,,,,,,,,,
162,Ontology-Based Classifiers for Wikipedia Article Quality Classification,https://link.springer.com/chapter/10.1007/978-3-319-94703-7_7,https://link.springer.com/content/pdf/10.1007/978-3-319-94703-7_7,No,Yes,,Yes,revisor 2,"Ontology, Thai Wikipedia, Concept feature, Naïve Bayes Classifier",NLP?,,,,,,,,,,,,
163,Ranking Wikipedia article's data quality by learning dimension distributions,https://www.inderscienceonline.com/doi/abs/10.1504/IJIQ.2014.064056,,,, No access,No,,,,,,,,,,,,,,,
165,Automatically Assessing the Need of Additional Citations for Information Quality Verification in Wikipedia Articles,http://sedici.unlp.edu.ar/handle/10915/90453,http://sedici.unlp.edu.ar/bitstream/handle/10915/90453/Documento_completo.pdf-PDFA.pdf?sequence=1&isAllowed=y,No,No,,No,,"Wikipedia, Information Quality, Quality Flaws Prediction, Refimprove Flaw",,,,,,,,,,,,,
169,Assessing the Quality of Thai Wikipedia Articles Using Concept and Statistical Features,https://link.springer.com/chapter/10.1007/978-3-319-05951-8_49,https://link.springer.com/content/pdf/10.1007/978-3-319-05951-8_49,Yes,Yes,,Yes,incluido no artigo,"Quality of Thai Wikipedia articles, Naïve Bayes, Decision tree, Concept feature, Statistical feature",,,,,,,,,,,,,
170,Interactive Quality Analytics of User-generated Content,https://dl.acm.org/doi/10.1145/3150973,https://dl.acm.org/pdf/10.1145/3150973,,,Focus,No,"criadores do wikilyzer, mas aqui o foco parece muito mais na componente interativa","Text analytics, information quality assessment, user-generated content, Wikipedia, visual analytics",,,,,,,,,,,,,
172,Structure-Based Features for Predicting the Quality of Articles in Wikipedia,https://link.springer.com/chapter/10.1007/978-3-319-51049-1_6,https://link.springer.com/content/pdf/10.1007/978-3-319-51049-1_6,Yes,Yes,,Yes,,N/A,metric-based,S. 4,,,,,,,,,,,"book chapter (acho que incluimos na mesma, mas só para nao esquecer)"
173,Evaluating Article Quality and Editor Reputation in Wikipedia,https://link.springer.com/chapter/10.1007/978-3-642-54025-7_19,https://link.springer.com/content/pdf/10.1007/978-3-642-54025-7_19,Yes,Yes,,Yes,,"factor graph, quality evaluation, editor reputation",ml + features,Table 2,,,,,,,,,,,
175,Citation Detective : a Public Dataset to Improve and Quantify Wikipedia Citation Quality at Scale,https://www.semanticscholar.org/paper/2fa03900c85676a9e75dd6ab6bce7009f4cd875c,https://upload.wikimedia.org/wikipedia/commons/6/6f/Citation_Detective_WikiWorkshop2020.pdf,,,Focus,No,,"datasets, neural networks, Wikipedia, data dumps",,,,,,,,,,,,,wikimedia-related. proponho mantermos
181,Understanding the 'Quality Motion' of Wikipedia Articles Through Semantic Convergence Analysis,https://link.springer.com/chapter/10.1007/978-3-319-20895-4_7,https://link.springer.com/content/pdf/10.1007/978-3-319-20895-4_7,,,Focus,No,,"Wikipedia, Article quality, Quality motion, Content change, Semantic convergence",,,,,,,,,,,,,
187,Quality assessment of Wikipedia content using topic models,https://dl.acm.org/doi/10.1145/3323503.3360628,https://dl.acm.org/doi/pdf/10.1145/3323503.3360628,,,Not English,No,revisor 2 (pt-br: parece-me um uso clássico de features simples + ML),"Latent Dirichlet Allocation, Information Quality, Topic Prediction, Automatic Quality Assessment, Machine Learning",,,,,,,,,,,,,
197,Predicting Low-Quality Wikipedia Articles Using User’s Judgements,https://link.springer.com/chapter/10.1007/978-3-319-05467-4_6,https://link.springer.com/content/pdf/10.1007/978-3-319-05467-4_6,Yes,Yes,,Yes,,N/A,classical + features,Table 6.1,,,,,,,,,,,book chapter
199,An investigation of the relationship between the amount of extra-textual data and the quality of Wikipedia articles,https://dl.acm.org/doi/10.1145/2526188.2526218,https://dl.acm.org/doi/pdf/10.1145/2526188.2526218,Yes,No,,Yes,,"Extra-textual data, Correlations, Wikipedia, Content Quality",suggests features + correlates,images / sounds I think,,,,,,,,,,,
202,Monitoring network structure and content quality of signal processing articles on wikipedia,https://ieeexplore.ieee.org/document/6639378,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6639378,,,Focus,No,"uses some stvilia metrics (4.1), but not the focus imo","Extra-textual data, Correlations, Wikipedia, Content Quality",,,,,,,,,,,,,
262,Cultural diversity of quality of information on Wikipedias,https://asistdl.onlinelibrary.wiley.com/doi/10.1002/asi.23901,https://crow.kozminski.edu.pl/papers/cultures%20of%20wikipedias.pdf,Yes,No,,Yes,,N/A,suggests features + correlates,Fig 2/3,,,,,,,,,,,
338,On the Feasibility of External Factual Support as Wikipedia's Quality Metric,http://journal.sepln.org/sepln/ojs/ojs/index.php/pln/article/view/5417,http://journal.sepln.org/sepln/ojs/ojs/index.php/pln/article/view/5417/3181,Yes,No,,Yes,,"Quality metrics, Wikipedia, featured articles, external support",,metric-based (external factual support),,,,,,,,,,,
359,Quality of Wikipedia Articles: Analyzing Features and Building a Ground Truth for Supervised Classification,https://boa.unimib.it/handle/10281/249678,https://pdfs.semanticscholar.org/f118/37c304132974ec60f0fa98a2e8ecf161a313.pdf,Yes,Yes,,Yes,ground-truth?,"Data Quality, Wikipedia, Supervised Classification, Feature Analysis, Ground Truth Building",classical + features,section 4,,,,,,,,,,,
