id,databases,title,year,authors,publication_type,published_in,num_references,num_citations,abstract,keywords,pdf,url
48,"Google Scholar, Web of Science",A hybrid approach to classifying Wikipedia article quality flaws with feature fusion framework,2021,Ping Wang; Muyan Li; Xiaodan Li; Heshen Zhou; Jingrui Hou,Journal,"Expert Syst. Appl., 181, pp. 115089",30,6,"Article quality has always been a major concern for Wikipedia. To improve article quality, it is critical to first identify defects. Thus, flaw classification has attracted considerable attention. To achieve this, several machine-learning-based approaches are available, including deep learning models based on either manually constructed or autoextracted features. However, adopting only features of either single type may not ensure a comprehensive description of articles. To improve flaw classification, we propose a feature fusion framework combining both handcrafted and autoextracted features. In this research, we first use a rule-based method from a previously proposed framework to extract handcrafted features. Additionally, we obtain autoextracted features using Bidirectional Encoder Representations from Transformers (BERT) and various deep learning models, including bidirectional long short-term memory (Bi LSTM), bidirectional gated recurrent unit (Bi GRU), bidirectional recurrent neural network (Bi RNN), and multihead self-attention models. Finally, the handcrafted features are standardized and concatenated with the autoextracted features. Then, the concatenated features are fed into a feedforward neural network for classification. A detailed comparison of different classifiers is conducted. We compare 12 different classifiers in terms of training performance, classification performance, and model training time. The experiments show that the proposed feature fusion framework can notably improve the effectiveness of quality flaw classification for Wikipedia articles. In particular, a Bi GRU model based on the proposed framework achieves excellent classification accuracy.",,https://reader.elsevier.com/reader/sd/pii/S0957417421005303?token=5388C4415793DA7AF64CBE513CD8B789A104B546D63754CE10326DECA64378FAADD906AE25B606164B3F69EC4FA003F6&originRegion=eu-west-1&originCreation=20230130110039,https://www.sciencedirect.com/science/article/pii/S0957417421005303?via%3Dihub
58,"ACM, Google Scholar",On improving wikipedia search using article quality,2007,Meiqun Hu; Ee-Peng Lim; Aixin Sun; Hady W. Lauw; Ba-Quy Vuong,Conference,"ACM International Workshop on Web Information and Data Management, pp. 145-152",25,19,"Wikipedia is presently the largest free-and-open online encyclopedia collaboratively edited and maintained by volunteers. While Wikipedia offers full-text search to its users, the accuracy of its relevance-based search can be compromised by poor quality articles edited by non-experts and inexperienced contributors. In this paper, we propose a framework that re-ranks Wikipedia search results considering article quality. We develop two quality measurement models, namely Basic and PeerReview, to derive article quality based on co-authoring data gathered from articles' edit history. Compared with Wikipedia's full-text search engine, Google and Wikiseek, our experimental results showed that (i) quality-only ranking produced by PeerReview gives comparable performance to that of Wikipedia and Wikiseek; (ii) PeerReview combined with relevance ranking outperforms Wikipedia's full-text search significantly, delivering search accuracy comparable to Google.",,https://dl.acm.org/doi/pdf/10.1145/1316902.1316926,https://dl.acm.org/doi/10.1145/1316902.1316926
60,"ACM, Google Scholar",Mutual evaluation of editors and texts for assessing quality of Wikipedia articles,2012,Yumiko Suzuki; M. Yoshikawa,Conference,N/A,26,20,"In this paper, we propose a method to identify good quality Wikipedia articles by mutually evaluating editors and texts. A major approach for assessing article quality is a text survival ratio based approach. In this approach, when a text survives beyond multiple edits, the text is assessed as good quality. This approach assumes that poor quality texts are deleted by editors with high possibility. However, many vandals delete good quality texts frequently, then the survival ratios of good quality texts are improperly decreased by vandals. As a result, many good quality texts are unfairly assessed as poor quality. In our method, we consider editor quality for calculating text quality, and decrease the impacts on text qualities by the vandals who has low quality. Using this improvement, the accuracy of the text quality should be improved. However, an inherent problem of this idea is that the editor qualities are calculated by the text qualities. To solve this problem, we mutually calculate the editor and text qualities until they converge. We did our experimental evaluation, and we confirmed that the proposed method could accurately assess the text qualities.",,https://dl.acm.org/doi/pdf/10.1145/2462932.2462956,https://dl.acm.org/doi/10.1145/2462932.2462956
61,"ACM, Google Scholar",Mining the Factors Affecting the Quality of Wikipedia Articles,2010,Kewen Wu; Qinghua Zhu; Y. Zhao; Hua Zheng,Conference,"2010 International Conference of Information Science and Management Engineering, 1, pp. 343-346",8,13,"In order to observe the variation of factors affecting the quality of Wikipedia articles during the information quality improvement process, we proposed 28 metrics from four aspects, including lingual, structural, historical and reputational features, and then weighted each metrics indifferent stages by using neural network. We found lingual features weighted more in the lower quality stages, and structural features, along with historical features, became more important while article quality improved. However, reputational features did not act as important as expected. The findings indicate that the information quality is mainly affected by completeness, and well-written is a basic requirement in the initial stage. Reputation of authors or editors is not so important in Wikipedia because of its horizontal structure.",,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5572324,https://ieeexplore.ieee.org/document/5572324
62,"Google Scholar, Web of Science",Measures for Quality Assessment of Articles and Infoboxes in Multilingual Wikipedia,2018,Włodzimierz Lewoniewski,Conference,"Business Information Systems, pp. 619-633",69,10,"One of the most popular collaborative knowledge bases on the Internet is Wikipedia. Articles of this free encyclopaedia are created and edited by users from different countries in about 300 languages. Depending on topic and language version, quality of information there may vary. This study presents and classifies measures that can be extracted from Wikipedia articles for the purpose of automatic quality assessment in different languages. Based on a state of the art analysis and own experiments, specific measures for various aspects of quality have been defined. Additional, in this work they were also defined measures for quality assessment of data contained in the structural parts of Wikipedia articles - infoboxes. This study describes also an extraction methods for various sources of measures, that can be used in quality assessment.",,https://link.springer.com/content/pdf/10.1007/978-3-030-04849-5_53,https://link.springer.com/chapter/10.1007/978-3-030-04849-5_53
64,"ACM, Google Scholar, Web of Science",Classifying Wikipedia Article Quality With Revision History Networks,2020,Narun K. Raman; Nathaniel Sauerberg; Jonah Fisher; Sneha Narayan,Conference,Proceedings of the 16th International Symposium on Open Collaboration,22,7,"We present a novel model for classifying the quality of Wikipedia articles based on structural properties of a network representation of the article's revision history. We create revision history networks (an adaptation of Keegan et. al's article trajectory networks [7]), where nodes correspond to individual editors of an article, and edges join the authors of consecutive revisions. Using descriptive statistics generated from these networks, along with general properties like the number of edits and article size, we predict which of six quality classes (Start, Stub, C-Class, B-Class, Good, Featured) articles belong to, attaining a classification accuracy of 49.35% on a stratified sample of articles. These results suggest that structures of collaboration underlying the creation of articles, and not just the content of the article, should be considered for accurate quality classification.",,https://dl.acm.org/doi/pdf/10.1145/3412569.3412581,https://dl.acm.org/doi/10.1145/3412569.3412581
65,"Google Scholar, Web of Science",WikipediaViz: Conveying article quality for casual Wikipedia readers,2010,Fanny Chevalier; Stéphane Huot; Jean-Daniel Fekete,Conference,"2010 IEEE Pacific Visualization Symposium (PacificVis), pp. 49-56",26,37,"As Wikipedia has become one of the most used knowledge bases worldwide, the problem of the trustworthiness of the information it disseminates becomes central. With WikipediaViz, we introduce five visual indicators integrated to the Wikipedia layout that can keep casual Wikipedia readers aware of important metainformation about the articles they read. The design of WikipediaViz was inspired by two participatory design sessions with expert Wikipedia writers and sociologists who explained the clues they used to quickly assess the trustworthiness of articles. According to these results, we propose five metrics for Maturity and Quality assessment of Wikipedia articles and their accompanying visualizations to provide the readers with important clues about the editing process at a glance. We also report and discuss about the results of the user studies we conducted. Two preliminary pilot studies show that all our subjects trust Wikipedia articles almost blindly. With the third study, we show that WikipediaViz significantly reduces the time required to assess the quality of articles while maintaining a good accuracy.",,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5429611,https://ieeexplore.ieee.org/document/5429611/
66,"Google Scholar, Web of Science",Multilingual Ranking of Wikipedia Articles with Quality and Popularity Assessment in Different Topics,2019,Włodzimierz Lewoniewski; Krzysztof Węcel; W. Abramowicz,Journal,"Comput., 8, pp. 60",90,22,"On Wikipedia, articles about various topics can be created and edited independently in each language version. Therefore, the quality of information about the same topic depends on the language. Any interested user can improve an article and that improvement may depend on the popularity of the article. The goal of this study is to show what topics are best represented in different language versions of Wikipedia using results of quality assessment for over 39 million articles in 55 languages. In this paper, we also analyze how popular selected topics are among readers and authors in various languages. We used two approaches to assign articles to various topics. First, we selected 27 main multilingual categories and analyzed all their connections with sub-categories based on information extracted from over 10 million categories in 55 language versions. To classify the articles to one of the 27 main categories, we took into account over 400 million links from articles to over 10 million categories and over 26 million links between categories. In the second approach, we used data from DBpedia and Wikidata. We also showed how the results of the study can be used to build local and global rankings of the Wikipedia content.",,https://pdfs.semanticscholar.org/d5b3/f3e9403eda8b45184951b269ee7997452c6b.pdf,https://www.mdpi.com/2073-431X/8/3/60
67,"ACM, Google Scholar, Web of Science",Automatically assessing the quality of Wikipedia contents,2019,Elias Bassani; Marco Viviani,Conference,Proceedings of the 34th ACM/SIGAPP Symposium on Applied Computing,27,6,"With the development of Web 2.0 technologies, people have gone from being mere content users to content generators. In this context, the evaluation of the quality of (potential) information available online has become a crucial issue. Nowadays, one of the biggest online resources that users rely on as a knowledge base is Wikipedia. The collaborative aspect at the basis of Wikipedia can let to the possible creation of low-quality articles or even misinformation if the process of monitoring the generation and the revision of articles is not performed in a precise and timely way. For this reason, in this paper, the problem of automatically evaluating the quality of Wikipedia contents is considered, by proposing a supervised approach based on Machine Learning to perform the classification of articles on qualitative bases. With respect to prior literature, a wider set of features connected to Wikipedia articles has been taken into account, as well as previously unconsidered aspects connected to the generation of a labeled dataset to train the model, and the use of Gradient Boosting, which produced encouraging results.",,https://dl.acm.org/doi/pdf/10.1145/3297280.3297357,https://dl.acm.org/doi/10.1145/3297280.3297357
70,"ACM, Google Scholar, Web of Science",Quality Evaluation of Wikipedia Articles through Edit History and Editor Groups,2010,SetsyWei Wang; M. Iwaihara,Conference,"Asia-Pacific Web Conference, pp. 188-199",18,16,"Wikipedia is well known as a free encyclopedia, which is a type of collaborative repository system that allows the viewer to create and edit articles directly in the web browser. The weakness of the Wikipedia system is the possibility of manipulation and vandalism cannot be ruled out, so that the quality of any given Wikipedia article is not guaranteed. It is an important work to establish a quality evaluation method to help users decide how much they should trust an article in Wikipedia. In this paper we investigate the edit history of Wikipedia articles and propose a model of network structure of editors. We propose an algorithm to calculate the network structural indicator restoreratio. We use the proposed indicator combined with existing metrics to predict the quality of Wikipedia articles through support vector machine technology. The experimental results show that the proposed indicator has better performance in quality evaluation than several existing metrics.",,https://link.springer.com/content/pdf/10.1007/978-3-642-20291-9_20.pdf,https://link.springer.com/chapter/10.1007/978-3-642-20291-9_20
71,"Google Scholar, Web of Science",Application of SEO Metrics to Determine the Quality of Wikipedia Articles and Their Sources,2018,Włodzimierz Lewoniewski; Ralf-Christian Härting; Krzysztof Węcel; Christopher Reichstein; W. Abramowicz,Conference,"International Conference on Information and Software Technologies, pp. 139-152",21,7,"The leading online encyclopedia Wikipedia is struggling with inconsistent article quality caused by the collaborative editing model. While one can find many helpful articles with consistent information on Wikipedia, there are also a lot of questionable articles with unclear or unfinished information yet. The quality of each article may vary over time as different users repeatedly re-edit content. One of the most important elements of the Wikipedia articles are references which allow to verify content and to show its source to user. Based on the fact that most of these references are web pages, it is possible to get more information about their quality by using citation analysis tools. For science and practice the empirical proof of the quality of the articles in Wikipedia could have a further signal effect, as the citation of Wikipedia articles, especially in scientific practice, is not yet recognised. This paper presents general results of Wikipedia analysis using metrics from the Toolbox SISTRIX, which is one of the leading providers of indicators for Search Engine Optimization (SEO). In addition to the preliminary analysis of the Wikipedia articles as separate web pages, we extracted data from more than 30 million references in different language versions of Wikipedia and analyzed over 180 thousand most popular hosts. In addition, we compared the same sources from different geographical perspectives using country-specific visibility indices.",,https://link.springer.com/content/pdf/10.1007/978-3-319-99972-2_11,https://link.springer.com/chapter/10.1007/978-3-319-99972-2_11
74,"ACM, Google Scholar, Web of Science",A deep learning-based quality assessment model of collaboratively edited documents: A case study of Wikipedia,2019,Ping Wang; Xiaodan Li; Renli Wu,Journal,"Journal of Information Science, 47, pp. 176 - 191",64,2,"Wikipedia is becoming increasingly critical in helping people obtain information and knowledge. Its leading advantage is that users can not only access information but also modify it. However, this presents a challenging issue: how can we measure the quality of a Wikipedia article? The existing approaches assess Wikipedia quality by statistical models or traditional machine learning algorithms. However, their performance is not satisfactory. Moreover, most existing models fail to extract complete information from articles, which degrades the model’s performance. In this article, we first survey related works and summarise a comprehensive feature framework. Then, state-of-the-art deep learning models are introduced and applied to assess Wikipedia quality. Finally, a comparison among deep learning models and traditional machine learning models is conducted to validate the effectiveness of the proposed model. The models are compared extensively in terms of their training and classification performance. Moreover, the importance of each feature and the importance of different feature sets are analysed separately.",,https://journals.sagepub.com/doi/pdf/10.1177/0165551519877646,https://journals.sagepub.com/doi/10.1177/0165551519877646
76,"ACM, Google Scholar",Automatically Labeling Low Quality Content on Wikipedia By Leveraging Patterns in Editing Behaviors,2021,Sumit Asthana; Sabrina Tobar Thommel; Aaron L Halfaker; Nikola Banovic,Conference,"Proceedings of the ACM on Human-Computer Interaction, 5, pp. 1 - 23",49,0,"Wikipedia articles aim to be definitive sources of encyclopedic content. Yet, only 0.6% of Wikipedia articles have high quality according to its quality scale due to insufficient number of Wikipedia editors and enormous number of articles. Supervised Machine Learning (ML) quality improvement approaches that can automatically identify and fix content issues rely on manual labels of individual Wikipedia sentence quality. However, current labeling approaches are tedious and produce noisy labels. Here, we propose an automated labeling approach that identifies the semantic category (e.g., adding citations, clarifications) of historic Wikipedia edits and uses the modified sentences prior to the edit as examples that require that semantic improvement. Highest-rated article sentences are examples that no longer need semantic improvements. We show that training existing sentence quality classification algorithms on our labels improves their performance compared to training them on existing labels. Our work shows that editing behaviors of Wikipedia editors provide better labels than labels generated by crowdworkers who lack the context to make judgments that the editors would agree with.",,https://dl.acm.org/doi/pdf/10.1145/3479503,https://dl.acm.org/doi/10.1145/3479503
78,"ACM, Google Scholar, Web of Science",Article quality classification on Wikipedia: introducing document embeddings and content features,2019,Manuel Schmidt; Eva Zangerle,Conference,Proceedings of the 15th International Symposium on Open Collaboration,24,5,"The quality of articles on the Wikipedia platform is vital for its success. Currently, the assessment of quality is performed manually by the Wikipedia community, where editors classify articles into pre-defined quality classes. However, this approach is hardly scalable and hence, approaches for the automatic classification have been investigated. In this paper, we extend this previous line of research on article quality classification by extending the set of features with novel content and edit features (e.g., document em-beddings of articles). We propose a classification approach utilizing gradient boosted trees based on this novel, extended set of features extracted from Wikipedia articles. Based on an established dataset containing Wikipedia articles and quality classes, we show that our approach is able to substantially outperform previous approaches (also including recent deep learning methods). Furthermore, we shed light on the contribution of individual features and show that the proposed features indeed capture the quality of an article well.",,https://dl.acm.org/doi/pdf/10.1145/3306446.3340831,https://dl.acm.org/doi/10.1145/3306446.3340831
79,"ACM, Google Scholar, Web of Science",Assessing quality score of Wikipedia article using mutual evaluation of editors and texts,2013,Yumiko Suzuki; M. Yoshikawa,Conference,Proceedings of the 22nd ACM international conference on Information & Knowledge Management,8,17,"In this paper, we propose a method for assessing quality scores of Wikipedia articles by mutually evaluating editors and texts. Survival ratio based approach is a major approach to assessing article quality. In this approach, when a text survives beyond multiple edits, the text is assessed as good quality, because poor quality texts have a high probability of being deleted by editors. However, many vandals, low quality editors, delete good quality texts frequently, which improperly decreases the survival ratios of good quality texts. As a result, many good quality texts are unfairly assessed as poor quality. In our method, we consider editor quality score for calculating text quality score, and decrease the impact on text quality by vandals. Using this improvement, the accuracy of the text quality score should be improved. However, an inherent problem with this idea is that the editor quality scores are calculated by the text quality scores. To solve this problem, we mutually calculate the editor and text quality scores until they converge. In this paper, we prove that the text quality score converges. We did our experimental evaluation, and confirmed that our proposed method could accurately assess the text quality scores.",,https://dl.acm.org/doi/pdf/10.1145/2505515.2505610,https://dl.acm.org/doi/10.1145/2505515.2505610
82,Google Scholar,Quality Assessment of Wikipedia Articles Using h-index,2015,Yumiko Suzuki,Journal,"J. Inf. Process., 23, pp. 22-30",31,20,"In this paper, we propose a method for assessing quality values of Wikipedia articles from edit history using h-index. One of the major methods for assessing Wikipedia article quality is a peer-review based method. In this method, we assume that if an editor’s texts are left by the other editors, the texts are approved by the editors, then the editor is decided as a good editor. However, if an editor edits multiple articles, and the editor is approved at a small number of articles, the quality value of the editor deeply depends on the quality of the texts. In this paper, we apply h-index, which is a simple but resistant to excessive values, to the peer-review based Wikipedia article assessment method. Although h-index can identify whether an editor is a good quality editor or not, h-index cannot identify whether the editor is a vandal or an inactive editor. To solve this problem, we propose p-ratio for identifying which editors are vandals or inactive editors. From our experiments, we confirmed that by integrating h-index with p-ratio, the accuracy of article quality assessment in our method outperforms the existing peer-review based method.",,https://www.jstage.jst.go.jp/article/ipsjjip/23/1/23_22/_pdf,https://www.jstage.jst.go.jp/article/ipsjjip/23/1/23_22/_article
83,"ACM, Google Scholar, Web of Science",WikiLyzer: Interactive Information Quality Assessment in Wikipedia,2017,Cecilia di Sciascio; D. Strohmaier; M. Errecalde; Eduardo Veas,Conference,Proceedings of the 22nd International Conference on Intelligent User Interfaces,34,8,"Digital libraries and services enable users to access large amounts of data on demand. Yet, quality assessment of information encountered on the Internet remains an elusive open issue. For example, Wikipedia, one of the most visited platforms on the Web, hosts thousands of user-generated articles and undergoes 12 million edits/contributions per month. User-generated content is undoubtedly one of the keys to its success, but also a hindrance to good quality: contributions can be of poor quality because anyone, even anonymous users, can participate. Though Wikipedia has defined guidelines as to what makes the perfect article, authors find it difficult to assert whether their contributions comply with them and reviewers cannot cope with the ever growing amount of articles pending review. Great efforts have been invested in algorithmic methods for automatic classification of Wikipedia articles (as featured or non-featured) and for quality flaw detection. However, little has been done to support quality assessment of user-generated content through interactive tools that combine automatic methods and human intelligence. We developed WikiLyzer, a Web toolkit comprising three interactive applications designed to assist (i) knowledge discovery experts in creating and testing metrics for quality measurement, (ii) Wikipedia users searching for good articles, and (iii) Wikipedia authors that need to identify weaknesses to improve a particular article. A design study sheds a light on how experts could create complex quality metrics with our tool, while a user study reports on its usefulness to identify high-quality content.",,https://dl.acm.org/doi/pdf/10.1145/3025171.3025201,https://dl.acm.org/doi/10.1145/3025171.3025201
85,Google Scholar,An Edit-centric Approach for Wikipedia Article Quality Assessment,2019,Edison Marrese-Taylor; Pablo Loyola; Y. Matsuo,Conference,"Conference on Empirical Methods in Natural Language Processing, pp. 381-386",25,9,"We propose an edit-centric approach to assess Wikipedia article quality as a complementary alternative to current full document-based techniques. Our model consists of a main classifier equipped with an auxiliary generative module which, for a given edit, jointly provides an estimation of its quality and generates a description in natural language. We performed an empirical study to assess the feasibility of the proposed model and its cost-effectiveness in terms of data and quality requirements.",,https://aclanthology.org/D19-5550.pdf,https://aclanthology.org/D19-5550/
87,"Google Scholar, Web of Science",StRE: Self Attentive Edit Quality Prediction in Wikipedia,2019,Soumya Sarkar; Bhanu Prakash Reddy Guda; Sandipan Sikdar; Animesh Mukherjee,Conference,"ArXiv, abs/1906.04678",39,8,"Wikipedia can easily be justified as a behemoth, considering the sheer volume of content that is added or removed every minute to its several projects. This creates an immense scope, in the field of natural language processing toward developing automated tools for content moderation and review. In this paper we propose Self Attentive Revision Encoder (StRE) which leverages orthographic similarity of lexical units toward predicting the quality of new edits. In contrast to existing propositions which primarily employ features like page reputation, editor activity or rule based heuristics, we utilize the textual content of the edits which, we believe contains superior signatures of their quality. More specifically, we deploy deep encoders to generate representations of the edits from its text content, which we then leverage to infer quality. We further contribute a novel dataset containing ∼ 21M revisions across 32K Wikipedia pages and demonstrate that StRE outperforms existing methods by a significant margin – at least 17% and at most 103%. Our pre-trained model achieves such result after retraining on a set as small as 20% of the edits in a wikipage. This, to the best of our knowledge, is also the first attempt towards employing deep language models to the enormous domain of automated content moderation and review in Wikipedia.",,https://aclanthology.org/P19-1387.pdf,https://aclanthology.org/P19-1387/
89,"ACM, Google Scholar",Quality assessment of wikipedia articles: a deep learning approach,2016,DangQuang Vinh; IgnatClaudia-Lavinia,Journal,"ACM Sigweb Newsletter, ",30,5,"Wikipedia is indeed a very important knowledge sharing platform. However, since its start in 2001, the quality of Wikipedia is questioned because its content is created potentially by everyone who can access the Internet. Currently, the quality of Wikipedia articles is assessed by human judgement. The method is not scalable up to huge size and fast changing speed of Wikipedia today. An automatic quality classifier for Wikipedia articles is required to support user to choose high quality articles for reading and to notify authors for improving their products. While other existing approaches are based on manually predefined specific feature set, we present our approach of using deep learning to automatically represent Wikipedia articles for quality classification.",,https://dl.acm.org/doi/pdf/10.1145/2996442.2996447,https://dl.acm.org/doi/10.1145/2996442.2996447
90,"ACM, Google Scholar",Evaluating the trustworthiness of Wikipedia articles through quality and credibility,2009,S. Moturu; Huan Liu,Journal,N/A,9,18,"Wikipedia has become a very popular destination for Web surfers seeking knowledge about a wide variety of subjects. While it contains many helpful articles with accurate information, it also consists of unreliable articles with inaccurate or incomplete information. A casual observer might not be able to differentiate between the good and the bad. In this work, we identify the necessity and challenges for trust assessment in Wikipedia, and propose a framework that can help address these challenges by identifying relevant features and providing empirical means to meet the requirements for such an evaluation. We select relevant variables and perform experiments to evaluate our approach. The results demonstrate promising performance that is better than comparable approaches and could possibly be replicated with other social media applications.",,https://dl.acm.org/doi/pdf/10.1145/1641309.1641349,https://dl.acm.org/doi/10.1145/1641309.1641349
92,"Google Scholar, Web of Science",A matter of words: NLP for quality evaluation of Wikipedia medical articles,2016,V. Cozza; M. Petrocchi; A. Spognardi,Conference,"International Conference on Web Engineering, pp. 448-456",37,8,"Automatic quality evaluation of Web information is a task with many fields of applications and of great relevance, especially in critical domains, like the medical one. We move from the intuition that the quality of content of medical Web documents is affected by features related with the specific domain. First, the usage of a specific vocabulary (Domain Informativeness); then, the adoption of specific codes (like those used in the infoboxes of Wikipedia articles) and the type of document (e.g., historical and technical ones). In this paper, we propose to leverage specific domain features to improve the results of the evaluation of Wikipedia medical articles, relying on Natural Language Processing (NLP) and dictionaries-based techniques. The results of our experiments confirm that, by considering domain-oriented features, it is possible to improve existing solutions, mainly with those articles that other approaches have less correctly classified.",,https://link.springer.com/content/pdf/10.1007/978-3-319-38791-8_31,https://link.springer.com/chapter/10.1007/978-3-319-38791-8_31
95,"ACM, Google Scholar, Web of Science",Mining team characteristics to predict Wikipedia article quality,2016,Grace Gimon Betancourt; Armando Segnine; Carlos Trabuco; Amira Rezgui; Nicolas Jullien,Conference,Proceedings of the 12th International Symposium on Open Collaboration,46,8,"In this study, we were interested in studying which characteristics of virtual teams are good predictors for the quality of their production. The experiment involved obtaining the Spanish Wikipedia database dump and applying different data mining techniques suitable for large data sets to label the whole set of articles according to their quality (comparing them with the Featured/Good Articles, or FA/GA). Then we created the attributes that describe the characteristics of the team who produced the articles and using decision tree methods, we obtained the most relevant characteristics of the teams that produced FA/GA. The team's maximum efficiency and the total length of contribution are the most important predictors. This article contributes to the literature on virtual team organization.",,https://dl.acm.org/doi/pdf/10.1145/2957792.2971802,https://dl.acm.org/doi/10.1145/2957792.2971802
97,"ACM, Google Scholar","Quality Change: Norm or Exception? Measurement, Analysis and Detection of Quality Change in Wikipedia",2021,Paramita Das; Bhanu Prakash Reddy Guda; Sasi Bhusan Seelaboyina; Soumya Sarkar; Animesh Mukherjee,Conference,"Proceedings of the ACM on Human-Computer Interaction, 6, pp. 1 - 36",87,0,"Wikipedia has been turned into an immensely popular crowd-sourced encyclopedia for information dissemination on numerous versatile topics in the form of subscription free content. It allows anyone to contribute so that the articles remain comprehensive and updated. For enrichment of content without compromising standards, the Wikipedia community enumerates a detailed set of guidelines, which should be followed. Based on these, articles are categorized into several quality classes by the Wikipedia editors with increasing adherence to guidelines. This quality assessment task by editors is laborious as well as demands platform expertise. As a first objective, in this paper, we study evolution of a Wikipedia article with respect to such quality scales. Our results show novel non-intuitive patterns emerging from this exploration. As a second objective we attempt to develop an automated data driven approach for the detection of the early signals influencing the quality change of articles. We posit this as a change point detection problem whereby we represent an article as a time series of consecutive revisions and encode every revision by a set of intuitive features. Finally, various change point detection algorithms are used to efficiently and accurately detect the future change points. We also perform various ablation studies to understand which group of features are most effective in identifying the change points. To the best of our knowledge, this is the first work that rigorously explores English Wikipedia article quality life cycle from the perspective of quality indicators and provides a novel unsupervised page level approach to detect quality switch, which can help in automatic content monitoring in Wikipedia thus contributing significantly to the CSCW community.",,https://dl.acm.org/doi/pdf/10.1145/3512959,https://dl.acm.org/doi/10.1145/3512959
100,"Google Scholar, Web of Science",Quality flaw prediction in Spanish Wikipedia: A case of study with verifiability flaws,2018,E. Ferretti; L. Cagnina; Viviana Paiz; Sebastián Delle Donne; Rodrigo Zacagnini; M. Errecalde,Journal,"Inf. Process. Manag., 54, pp. 1169-1181",38,8,"In this work, we present the first quality flaw prediction study for articles containing the two most frequent verifiability flaws in Spanish Wikipedia: articles which do not cite any references or sources at all (denominated Unreferenced) and articles that need additional citations for verification (so-called Refimprove). Based on the underlying characteristics of each flaw, different state-of-the-art approaches were evaluated. For articles not citing any references, a well-established rule-based approach was evaluated and interesting findings show that some of them suffer from Refimprove flaw instead. Likewise, for articles that need additional citations for verification, the well-known PU learning and one-class classification approaches were evaluated. Besides, new methods were compared and a new feature was also proposed to model this latter flaw. The results showed that new methods such as under-bagged decision trees with sum or majority voting rules, biased-SVM, and centroid-based balanced SVM, perform best in comparison with the ones previously published.",,https://reader.elsevier.com/reader/sd/pii/S0306457317309329?token=932F3ED2D2166622793C94EF06681099A807E81123D2C8A2103641E6DFA3906BCFCA8A59AF7D631C3F1183491945618F&originRegion=eu-west-1&originCreation=20230130113926,https://www.sciencedirect.com/science/article/pii/S0306457317309329?via%3Dihub
101,"ACM, Google Scholar, Web of Science",Structural Analysis of Wikigraph to Investigate Quality Grades of Wikipedia Articles,2021,Anamika Chhabra; S. Srivastava; S. Iyengar; P. Saini,Conference,Companion Proceedings of the Web Conference 2021,46,1,"The quality of Wikipedia articles is manually evaluated which is time inefficient as well as susceptible to human bias. An automated assessment of these articles may help in minimizing the overall time and manual errors. In this paper, we present a novel approach based on the structural analysis of Wikigraph to automate the estimation of the quality of Wikipedia articles. We examine the network built using the complete set of English Wikipedia articles and identify the variation of network signatures of the articles with respect to their quality. Our study shows that these signatures are useful for estimating the quality grades of un-assessed articles with an accuracy surpassing the existing approaches in this direction. The results of the study may help in reducing the need for human involvement for quality assessment tasks.",,https://dl.acm.org/doi/pdf/10.1145/3442442.3452345,https://dl.acm.org/doi/10.1145/3442442.3452345
106,"Google Scholar, Web of Science",Relative Quality Assessment of Wikipedia Articles in Different Languages Using Synthetic Measure,2017,Włodzimierz Lewoniewski; Krzysztof Węcel,Conference,"Business Information Systems, pp. 282-292",16,5,"Online encyclopedia Wikipedia is one of the most popular sources of knowledge. It is often criticized for poor information quality. Articles can be created and edited even by anonymous users independently in almost 300 languages. Therefore, a difference in the information quality in various language versions on the same topic is observed. The Wikipedia community has created a system for assessing the quality of articles, which can be helpful in deciding which language version is more complete and correct. There are several issues: each Wikipedia language can use own grading scheme and there is usually a large number of unevaluated articles. In this paper, we propose to use a synthetic measure for automatic quality evaluation of the articles in different languages based on important features",,https://www.researchgate.net/publication/320446880_Relative_Quality_Assessment_of_Wikipedia_Articles_in_Different_Languages_Using_Synthetic_Measure,https://link.springer.com/chapter/10.1007/978-3-319-69023-0_24
109,"Google Scholar, Web of Science",Enrichment of Information in Multilingual Wikipedia Based on Quality Analysis,2017,Włodzimierz Lewoniewski,Conference,"Business Information Systems, pp. 216-227",33,7,"Despite the fact that Wikipedia is one of the most popular sources of information in the world, it is often criticized for the poor quality of content. In this online encyclopaedia articles on the same topic can be created and edited independently in different languages. Some of this language versions can provide valuable information on a specific topics. Wikipedia articles may include infobox, which used to collect and present a subset of important information about its subject. This study presents method for quality assessment of Wikipedia articles and information contained in their infoboxes. Choosing the best language versions of a particular article will allow for enrichment of information in less developed version editions of particular articles.",,http://lewoniewski.info/files/bis2017_wiki_enrichment.pdf,https://link.springer.com/chapter/10.1007/978-3-319-69023-0_19
111,"ACM, Google Scholar",GreenWiki: a tool to support users' assessment of the quality of Wikipedia articles,2011,D. H. Dalip; R. L. Santos; Diogo Rennó Rocha de Oliveira; Valéria Freitas Amaral; Marcos André Gonçalves; R. Prates; R. Minardi; J. Almeida,Conference,"ACM/IEEE Joint Conference on Digital Libraries, pp. 469-470",4,4,"In this work, we present GreenWiki, which is a wiki with a panel of quality indicators to assist the reader of a Wikipedia article in assessing its quality.",,https://dl.acm.org/doi/pdf/10.1145/1998076.1998190,https://dl.acm.org/doi/10.1145/1998076.1998190
